 	l	ha	scritta	</S>
a20	1.6449041e-05	0.0016537741	0.98540026	0.012929615
a31	0.009957934	0.039291635	0.94733536	0.0034151345
a35	9.708429e-09	9.963423e-06	0.9956344	0.0043556937
a31	0.0001291818	0.0016681477	0.9923017	0.0059009874
a35	3.4903536e-09	4.7580916e-06	0.9945845	0.0054107783
a31	1.8315868e-05	0.00029556057	0.9747493	0.024936797
a41	2.5592777e-09	3.2553335e-06	0.9946679	0.0053289295
a31	5.0822778e-06	7.971407e-05	0.85134923	0.1485659
a11	7.854514e-09	7.628609e-06	0.993529	0.0064633423
a18	1.8674644e-06	2.5197696e-05	0.43210262	0.5678703
a13	2.2357749e-07	1.1785723e-06	0.034336608	0.96566194
</S>	3.9796424e-07	1.9033419e-06	0.032237217	0.9677605
