 	hai	già	mangiato	</S>
a31	0.0002048433	0.8118319	0.15759684	0.030366348
a37	5.968406e-05	0.9738488	0.024513481	0.001578039
a31	0.007236277	0.7151672	0.18790644	0.08969013
a46	2.3236817e-06	0.95620537	0.04237943	0.0014129156
a31	0.0023917533	0.3560289	0.40874764	0.23283166
a39	3.2203136e-06	0.96679103	0.032076932	0.0011288136
a20	0.00025313566	0.12301952	0.4810252	0.3957022
a31	3.4806926e-05	0.03705327	0.53513306	0.4277789
a46	3.6611407e-05	0.9709523	0.026733845	0.0022772802
a31	5.6810104e-06	0.008925597	0.29335618	0.69771254
a18	0.00068740617	0.9150734	0.062253445	0.02198574
a24	5.5902973e-07	0.0041493815	0.19299155	0.80285853
a46	6.328832e-06	0.09887299	0.3803495	0.52077115
</S>	6.2508286e-07	0.0041791173	0.1427887	0.8530315
