 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
a31	1.6381627e-08	1.5472487e-09	9.1828696e-08	3.3488611e-06	5.898402e-06	2.4684653e-07	1.6009536e-06	0.00036859827	0.9792615	0.02003391	0.0003247147
a28	9.1670137e-07	1.3772076e-07	2.3263533e-06	1.7633965e-05	2.324272e-05	4.23195e-06	1.1773132e-05	0.00020038092	0.26259556	0.7356293	0.001514449
a37	0.00023415877	7.026378e-05	0.00017747523	0.0005483634	0.0006632819	0.00021152021	0.00032804036	0.0005922378	0.0066687944	0.9652421	0.02526391
a31	4.1971925e-05	1.0713343e-05	3.7603233e-05	0.00013930582	0.00021911495	4.5720266e-05	8.014659e-05	0.00024415404	0.007568136	0.96727073	0.024342474
a17	3.2650425e-09	3.9719156e-10	1.2318218e-08	1.2764343e-07	2.5392941e-07	1.9357627e-08	7.351732e-08	4.25875e-06	0.0499756	0.9489	0.0011195892
a31	0.00017425934	5.2256815e-05	0.00011563337	0.00033779122	0.00041985148	0.00013396051	0.00017717865	0.00024493388	0.0021615059	0.93118244	0.065000184
a28	2.271829e-09	2.8751151e-10	9.449268e-09	1.0685029e-07	2.4795244e-07	1.8302709e-08	6.08138e-08	3.6339386e-06	0.051231217	0.947629	0.001135808
a17	7.665484e-05	2.1850607e-05	5.066025e-05	0.0001507413	0.00020107302	5.9588332e-05	7.318782e-05	0.000103076214	0.0013282577	0.90135276	0.09658214
a20	3.136234e-05	8.294618e-06	2.3776007e-05	8.4282736e-05	0.00013190218	3.3152282e-05	4.2494878e-05	7.913652e-05	0.001921616	0.93388987	0.06375403
a31	4.6796205e-05	1.2193802e-05	2.9633158e-05	0.00010443194	0.00017764946	3.8487233e-05	5.205793e-05	0.00010691582	0.0026560712	0.933517	0.06325872
a37	1.2635535e-08	1.5602202e-09	4.582011e-08	4.5595294e-07	1.0048434e-06	7.985859e-08	2.3175781e-07	9.310604e-06	0.05622072	0.9420252	0.0017430042
a31	5.3054522e-05	1.41393e-05	3.2081447e-05	0.000101458696	0.00014722983	3.8356975e-05	4.282328e-05	5.7662186e-05	0.00090745767	0.8473765	0.1512293
a18	1.0923121e-08	1.2545672e-09	4.747096e-08	5.718988e-07	1.442958e-06	9.979957e-08	2.6449817e-07	1.2236718e-05	0.07628151	0.9219481	0.0017557761
