 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	1.0790532e-10	9.436479e-10	1.4270602e-08	3.2375552e-05	0.00020647615	0.999757	4.183094e-06
a31	4.9862694e-05	0.00015765536	0.0001319708	0.00048913143	0.00019503331	0.9986002	0.0003761415
a6	5.675153e-13	3.5984009e-12	1.0329541e-10	8.943152e-08	3.253064e-05	0.9999666	6.6611807e-07
a31	3.4801935e-05	0.0001005096	8.3735235e-05	0.00027918402	0.00015261461	0.99779284	0.0015562903
a37	2.7389899e-13	1.6748163e-12	3.547489e-11	3.6043353e-08	2.6298547e-05	0.9999721	1.516807e-06
a31	5.818841e-06	1.7093183e-05	2.0100873e-05	9.254015e-05	8.043839e-05	0.9966683	0.0031157795
a17	4.4104786e-13	2.5964946e-12	4.575552e-11	3.776495e-08	2.7004777e-05	0.9999696	3.3670465e-06
a31	1.44251235e-05	4.0436433e-05	3.654988e-05	0.00012818236	8.658138e-05	0.99146175	0.00823208
a17	8.9694837e-13	4.952449e-12	7.761694e-11	5.5856127e-08	3.8835857e-05	0.9999547	6.378599e-06
a31	1.1244121e-05	3.0868137e-05	2.4085452e-05	8.087695e-05	6.004776e-05	0.97076607	0.029026765
a8	3.1479025e-12	1.6595251e-11	2.3213637e-10	1.327019e-07	6.265361e-05	0.9999205	1.6651358e-05
a31	6.780547e-06	1.8300496e-05	1.2556413e-05	4.1954343e-05	3.740903e-05	0.9301891	0.06969391
a28	9.021716e-12	4.6392914e-11	6.123296e-10	3.090541e-07	9.945013e-05	0.9998611	3.9072198e-05
a0	2.6848197e-06	7.4974755e-06	4.6836594e-06	2.0096475e-05	2.6321035e-05	0.819717	0.18022177
a41	9.6716185e-08	3.2151775e-07	2.9289828e-07	2.9385837e-06	1.4230113e-05	0.9374803	0.062501825
a39	1.17053354e-07	4.014673e-07	3.4286435e-07	3.889001e-06	2.0511417e-05	0.9338341	0.06614063
a31	7.327798e-07	2.546586e-06	1.5999187e-06	1.1755187e-05	2.9885701e-05	0.8389322	0.16102129
a39	5.283101e-10	2.7494147e-09	3.0462644e-08	7.877859e-06	0.0003288092	0.9993193	0.00034389
a31	9.4549034e-07	2.892632e-06	1.185022e-06	6.797689e-06	1.8212355e-05	0.55036855	0.44960144
a18	8.144367e-10	4.4182817e-09	5.734963e-08	1.4515694e-05	0.0003595687	0.99907684	0.0005490889
a31	1.5812745e-07	4.3504315e-07	1.3149469e-07	7.982682e-07	4.3680775e-06	0.24377483	0.7562193
a18	1.8964128e-09	1.0286658e-08	1.1943817e-07	2.213979e-05	0.000307571	0.998437	0.0012331431
a31	1.3725477e-08	3.772784e-08	1.5760998e-08	1.5296295e-07	2.0660163e-06	0.1737458	0.82625186
a39	5.9355445e-09	3.069084e-08	2.4489563e-07	2.9136436e-05	0.0002141075	0.99663866	0.0031178256
a41	1.3187398e-09	3.8894554e-09	3.6378949e-09	7.753189e-08	2.341447e-06	0.21121259	0.7887849
a8	5.6543425e-10	1.9459256e-09	3.3544558e-09	1.9192277e-07	7.5586377e-06	0.5889456	0.41104668
a31	3.3820519e-10	1.0078066e-09	3.4877876e-09	8.8067345e-08	2.9193284e-06	0.38954762	0.6104493
a46	1.1277135e-08	4.9664987e-08	1.2213363e-07	9.490249e-06	5.6373774e-05	0.9931465	0.0067874454
a8	1.9550701e-10	5.49539e-10	1.5608935e-09	4.675443e-08	1.9867675e-06	0.1617658	0.8382321
</S>	8.406122e-11	2.4642444e-10	1.1673332e-09	4.9204747e-08	2.5071217e-06	0.40907082	0.5909266
