 	che	consuma	poco	benzina	</S>
a31	0.00025425825	0.30639908	0.19799818	0.49394235	0.0014061416
a41	2.210956e-06	0.000393881	0.04518427	0.95413435	0.00028523
a31	0.0001130782	0.0032146801	0.03278432	0.9632032	0.0006846319
a28	1.5811983e-08	1.3623238e-05	0.0086250035	0.99113595	0.00022542501
a24	1.2380445e-05	0.00048427528	0.01313324	0.98552066	0.0008493705
a31	0.0008441969	0.08022272	0.31656665	0.6022224	0.0001440801
a11	7.093552e-05	0.022726703	0.2008809	0.7759423	0.00037915478
a31	0.0015934074	0.066675924	0.095901206	0.830433	0.0053964844
a46	0.00035266153	0.0915097	0.13012491	0.7753466	0.0026661488
a31	4.3983964e-05	0.001384875	0.008385761	0.8327767	0.15740868
</S>	0.0003755387	0.045994956	0.047403324	0.8993242	0.0069020283
