 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	2.1361999e-05	1.9174886e-05	9.264961e-06	1.0774432e-05	0.0025187517	0.38664365	0.33604816	0.2747289
a31	0.1835948	0.16408193	0.10438222	0.076576665	0.34668007	0.029462354	0.031260334	0.06396169
a13	2.651151e-07	2.0702214e-07	1.2598389e-07	2.6049184e-07	0.00010155034	0.64199764	0.2800409	0.077859014
a20	0.015275516	0.012618499	0.009057291	0.010079835	0.10284544	0.39154243	0.21957727	0.23900375
a15	0.013104474	0.011492586	0.0091238925	0.009827831	0.077405296	0.2802125	0.25768426	0.34114915
a20	0.02732513	0.025948968	0.02154689	0.018143913	0.08069955	0.104146264	0.24230283	0.47988638
a31	0.03961034	0.03859361	0.031120386	0.025007544	0.099606864	0.05924828	0.18731213	0.51950085
a39	0.02432489	0.019732552	0.013486259	0.020499166	0.29988256	0.336983	0.07627563	0.20881598
a31	0.031023934	0.030122971	0.024561057	0.021079093	0.13148656	0.088288724	0.14321867	0.53021896
a20	0.007361546	0.0059099724	0.004336485	0.0070005152	0.25731716	0.47945505	0.090573244	0.14804599
a31	0.00079838926	0.00084805646	0.000811458	0.0005786732	0.004536056	0.045209568	0.2572226	0.6899952
a7	0.0012279896	0.0010616566	0.00089857326	0.0015327556	0.09900525	0.59185207	0.15825522	0.14616646
a46	4.8819766e-05	5.3252134e-05	5.4024487e-05	4.268931e-05	0.00059933116	0.033000708	0.29528633	0.67091477
a39	1.0865347e-05	1.1961151e-05	1.248075e-05	9.092625e-06	0.00011306791	0.010857549	0.2334414	0.75554365
a31	3.114955e-05	3.2289616e-05	3.2724398e-05	2.5294401e-05	0.00039643305	0.011221001	0.13080777	0.8574534
a46	0.0012075965	0.0012010029	0.0010944948	0.0012815878	0.040964186	0.29264098	0.22980641	0.43180373
a0	6.2846556e-07	6.887457e-07	7.9265527e-07	7.068724e-07	1.4725092e-05	0.005303693	0.19272186	0.8019569
a27	7.5582864e-07	7.8692966e-07	8.8886054e-07	8.296191e-07	2.3542601e-05	0.0050780466	0.12982598	0.8650691
a20	5.6058257e-06	5.7057046e-06	6.105155e-06	5.2754654e-06	0.0001419944	0.009391969	0.109012015	0.8814314
a0	1.8862436e-06	1.8732896e-06	2.0300652e-06	1.8352902e-06	6.067407e-05	0.0049369982	0.09308497	0.90190977
a14	2.3017353e-06	2.2569445e-06	2.4408464e-06	2.247303e-06	7.470574e-05	0.005352933	0.08790817	0.90665495
a0	2.4439974e-05	2.3648085e-05	2.4773008e-05	2.3184608e-05	0.0006192573	0.021117035	0.1014113	0.8767564
a46	2.4770807e-06	2.4526364e-06	2.6812456e-06	2.4885906e-06	8.691765e-05	0.007332128	0.091183834	0.90138704
a20	3.2249393e-06	3.2244072e-06	3.5151907e-06	3.1442305e-06	0.00011010784	0.008601618	0.09236794	0.89890724
</S>	3.5535838e-06	3.494976e-06	3.8271414e-06	3.5318428e-06	0.00013408547	0.00992819	0.09106368	0.8988597
