 	non	ci	dimentichiamo	mai	</S>
a31	4.8972437e-05	0.5943397	0.40520203	0.00033344064	7.591136e-05
a20	0.0003183016	0.02630245	0.9572291	0.015581074	0.00056908524
a31	0.01814107	0.11924162	0.066408835	0.72465146	0.07155699
a11	6.981464e-06	0.0060143513	0.94254994	0.051045828	0.00038291843
a20	0.0043955646	0.06422855	0.080257095	0.762622	0.088496745
a31	0.003611769	0.049737673	0.032446627	0.80006707	0.114136845
a11	5.4536118e-05	0.02603498	0.85385406	0.11887523	0.0011812027
a31	0.007024793	0.09533219	0.04188802	0.69376737	0.16198762
a18	5.2936775e-05	0.033190243	0.86141646	0.104345575	0.0009948859
a42	0.0012161032	0.0118849715	0.008249057	0.73449534	0.24415451
a31	0.00019937303	0.0019389524	0.0026016503	0.86922723	0.12603272
a18	0.0004639458	0.18167001	0.60407054	0.21085261	0.0029429686
a31	8.5213935e-05	0.0009947456	0.0037897376	0.800711	0.19441934
a39	0.00042595467	0.22701728	0.46736932	0.3015235	0.0036639029
a31	4.826904e-06	0.00010891209	0.0018057683	0.8027766	0.19530395
a20	0.00034423254	0.14812313	0.26130715	0.5828099	0.0074155387
a39	1.7928222e-07	4.9756163e-06	0.00038648353	0.7457019	0.25390646
a31	1.9836561e-07	1.6194068e-05	0.0011080641	0.83530116	0.1635744
a14	0.00011201055	0.03284953	0.06894922	0.8776446	0.02044465
a46	8.9166285e-08	8.166635e-06	0.0009328765	0.79452676	0.20453218
a20	5.5838576e-08	3.6343974e-06	0.00059010385	0.72047985	0.27892634
a31	1.3408021e-07	1.2799772e-05	0.0016855891	0.7787098	0.21959169
</S>	2.3761018e-05	0.0069406074	0.051297266	0.8834666	0.058271814
