 	non	so	cosa	scrive	</S>
a46	2.042738e-09	3.0758635e-08	5.686076e-07	0.9999993	1.4355047e-07
a8	1.4492941e-06	2.7460967e-06	4.505145e-05	0.99995065	1.2075154e-07
a31	5.2607925e-07	1.0755551e-06	2.378883e-05	0.9999745	1.0671306e-07
a13	2.5342037e-10	3.209688e-09	9.580024e-08	0.9999987	1.1959584e-06
a31	3.431654e-07	9.086265e-07	2.0485308e-05	0.9999765	1.8380666e-06
a28	2.4753055e-10	2.6265807e-09	6.941524e-08	0.9999931	6.817509e-06
a31	1.3051827e-07	3.209474e-07	7.912349e-06	0.9999825	9.227476e-06
a37	2.6886754e-10	1.732748e-09	6.7993426e-08	0.9999809	1.8952454e-05
a31	8.6078025e-08	1.8772432e-07	8.635981e-06	0.99990594	8.515145e-05
a11	4.739654e-10	1.6309765e-09	1.578457e-07	0.99996376	3.615027e-05
a31	4.0438344e-08	5.3559948e-08	5.0640674e-06	0.9995859	0.00040896027
a20	1.4301558e-09	2.7096554e-09	7.2411734e-07	0.9999808	1.8488683e-05
a31	7.1765605e-08	3.1107856e-08	1.1661854e-06	0.9925332	0.007465437
</S>	1.03771205e-08	1.1590698e-08	2.4668107e-06	0.9999893	8.239327e-06
