 	qualcuno	al	telefono	vuole	sapere	dell	Anna	</S>
a23	4.184242e-05	0.00046830534	0.00051236764	9.410757e-05	0.001825556	0.17559387	0.23307753	0.5883865
a31	0.11264702	0.23954073	0.1456326	0.017288327	0.0031422935	0.10090073	0.08237366	0.2984746
a29	1.380013e-07	1.8944359e-06	6.4860083e-06	3.2780463e-06	0.00202136	0.7914232	0.08771329	0.11883038
a46	0.0027839995	0.008490513	0.007973091	0.0014103968	0.0005038464	0.030955648	0.15421219	0.7936703
a11	0.008429378	0.026954113	0.025121875	0.004301148	0.0018727718	0.07204833	0.15541841	0.70585394
a20	0.0023572312	0.008541753	0.0081150085	0.0012281047	0.0008858998	0.03799574	0.13621674	0.80465955
a8	0.0123105375	0.029402463	0.020419268	0.002456666	0.0010706724	0.05547367	0.14159161	0.73727506
a31	0.013094617	0.025771875	0.015156482	0.0017179069	0.0008173762	0.06552737	0.17011957	0.70779485
a38	1.2945059e-05	0.00011114587	0.00026293917	8.333385e-05	0.0018955359	0.5828987	0.19831982	0.21641558
a31	0.00076402916	0.0017579366	0.0012570963	0.00015042502	5.6787972e-05	0.009593657	0.169052	0.81736803
a24	1.6522523e-06	2.666295e-05	0.00011014607	4.5067147e-05	0.0033944806	0.82689446	0.09962796	0.06989959
a37	3.0322757e-05	0.00022123387	0.00034135234	4.4236393e-05	0.00014612894	0.06278009	0.30633843	0.63009816
a15	0.0007651837	0.0019260121	0.0013957268	0.00015605876	6.655364e-05	0.010729507	0.16506664	0.81989425
a31	0.0023068716	0.005448663	0.0033414483	0.00032613086	0.00021910567	0.028144853	0.15864487	0.80156803
a20	7.72224e-06	0.00012802557	0.0004695243	0.00016611374	0.005797478	0.7983188	0.10929578	0.08581666
a31	0.00017970077	0.00044680602	0.0003391062	4.1327592e-05	1.9473166e-05	0.0038762488	0.15502253	0.8400748
a37	1.7654075e-06	4.0442064e-05	0.00021756903	9.319685e-05	0.006419588	0.81242186	0.108269095	0.07253648
a46	3.105207e-05	9.706933e-05	8.724572e-05	1.101811e-05	8.386311e-06	0.002687797	0.16972618	0.8273512
a20	3.2752065e-05	0.000119455486	0.000107078595	1.2843006e-05	1.6260568e-05	0.0062397965	0.19375072	0.799721
a24	0.00018829788	0.0005914084	0.00043147895	4.53195e-05	5.6462275e-05	0.014234613	0.18119375	0.8032588
a31	8.2443024e-05	0.00046770117	0.00048078943	4.9410253e-05	0.00014059103	0.043602765	0.23811617	0.7170601
a17	2.661399e-05	0.0005918009	0.0023789858	0.00069070695	0.010522616	0.7306892	0.14080474	0.11429528
a20	1.227789e-05	3.786725e-05	3.2575037e-05	4.7751987e-06	8.495794e-06	0.0027674593	0.17997733	0.81715924
a38	2.1240523e-05	8.272102e-05	6.920794e-05	8.763171e-06	2.4504532e-05	0.00908835	0.20251603	0.78818923
a31	0.0001586814	0.00050805905	0.00034279027	4.2923177e-05	9.450663e-05	0.02098434	0.19256335	0.7853053
a17	2.9721634e-05	0.0007885978	0.0034360874	0.00082418293	0.009044402	0.661111	0.18424346	0.14052255
a31	1.6270111e-06	6.161745e-06	6.4877618e-06	1.2838084e-06	5.5765563e-06	0.00219582	0.18632565	0.8114574
a37	6.6546813e-06	0.00021352479	0.0012033737	0.00028447635	0.0051507372	0.5760084	0.25762895	0.1595038
</S>	1.4164922e-07	6.8921474e-07	9.669882e-07	2.2051934e-07	2.3713153e-06	0.0015788889	0.20242009	0.7959967
