 	aveva	lavorato	tutta	la	settimana	</S>
a31	1.1891202e-06	3.502939e-05	0.00063277595	0.9347311	0.0627631	0.0018367885
a20	1.8198624e-06	2.1329646e-05	0.00013338418	0.6404026	0.35850745	0.00093340734
a31	0.0001884422	0.00061408704	0.00076171843	0.009563963	0.97762626	0.011245446
a28	2.76746e-09	8.489002e-08	1.2896872e-06	0.26186752	0.73760253	0.00052849855
a31	4.2698186e-05	0.00014158958	0.00016380816	0.0033446725	0.98100764	0.015299583
a13	3.3565255e-09	1.031791e-07	1.3469271e-06	0.1584841	0.84097385	0.0005405354
a18	8.885111e-06	3.185278e-05	3.36624e-05	0.0012209843	0.97357756	0.025127087
a31	9.689243e-07	4.5085703e-06	5.412912e-06	0.00057844404	0.98076105	0.018649653
a27	1.6854077e-08	5.032554e-07	4.8677216e-06	0.11811482	0.88108474	0.00079500367
a31	2.2483111e-06	7.950396e-06	6.5722106e-06	0.00038856265	0.93701404	0.06258053
a20	7.0991256e-08	2.3400435e-06	1.9208082e-05	0.11792536	0.8806452	0.0014077689
a31	2.3454201e-07	7.256345e-07	5.3449855e-07	7.3159645e-05	0.78489673	0.21502861
a39	6.994957e-07	2.0825893e-05	0.00010791044	0.0780444	0.91750956	0.004316609
a31	1.7830965e-08	8.783826e-08	1.1728237e-07	0.00010579077	0.7354307	0.26446334
a33	4.3316627e-06	9.259949e-05	0.00024585953	0.03005696	0.95595074	0.013649591
</S>	1.911897e-09	1.1647387e-08	2.3778712e-08	5.934992e-05	0.67358893	0.32635164
