 	ho	rotto	una	bottiglia	</S>
a31	2.7606434e-06	0.00026020975	0.05911745	0.94060457	1.5029992e-05
a21	5.7988515e-08	9.0736e-06	0.027005628	0.9729787	6.5082263e-06
a31	2.1493463e-05	0.00019441101	0.01809578	0.9816809	7.381117e-06
a35	1.8963247e-09	2.2254817e-06	0.02898931	0.9710032	5.2954506e-06
a31	3.6848274e-07	8.807462e-06	0.0072435774	0.99273795	9.26715e-06
a24	1.6798697e-09	1.6222734e-06	0.018679058	0.9813114	7.939019e-06
a37	3.658848e-08	1.1809973e-05	0.027443958	0.9725303	1.3967242e-05
a31	1.3295304e-05	7.38134e-05	0.017220505	0.9826262	6.614054e-05
a33	2.7066844e-06	8.5497326e-05	0.017582592	0.9822887	4.056379e-05
a31	1.7163409e-06	1.6288646e-05	0.010399289	0.9861515	0.0034311388
</S>	1.5103998e-05	0.0001643844	0.016347	0.9833334	0.00014003068
