 	deve	essere	bianco	</S>
a31	0.006200634	0.9800687	0.0068792	0.0068515507
a11	0.00058603304	0.9976144	0.0014760884	0.00032351227
a31	0.0038358967	0.9932944	0.0020919081	0.00077774754
a37	0.00014878537	0.9866947	0.011821234	0.0013352479
a31	0.0034040837	0.9872435	0.0068131294	0.002539342
a37	0.00015468437	0.9918181	0.0072071464	0.00082002475
a31	0.0029461293	0.93841624	0.03414159	0.024495948
a20	0.00035902535	0.9963141	0.002752752	0.0005741005
a31	0.0007411421	0.20351785	0.22421364	0.57152736
a0	0.0023033249	0.9948177	0.0019626163	0.00091651874
a31	3.3544722e-05	0.02027085	0.18145806	0.79823756
a20	0.023207337	0.95612276	0.01097315	0.009696778
a18	8.701736e-06	0.0079313405	0.1705071	0.8215529
</S>	1.5341664e-05	0.020245697	0.22879049	0.7509485
