 	può	che	sono	ancora	svegli	</S>
a31	1.503299e-06	3.9347316e-05	0.002546774	0.9380727	0.05815451	0.0011851741
a7	8.532477e-07	7.786522e-06	0.00010123729	0.074174255	0.9242761	0.0014397232
a31	4.3713862e-05	0.00012384253	0.00027079586	0.0021380764	0.96306485	0.03435869
a7	1.0547692e-09	2.0747366e-08	8.865719e-07	0.007710355	0.99151504	0.00077368564
a31	1.5390999e-05	3.998126e-05	7.901438e-05	0.00078572694	0.9074782	0.091601714
a37	1.4431728e-09	2.6911836e-08	1.002461e-06	0.005499531	0.993493	0.001006392
a31	1.112416e-05	2.5075758e-05	3.812822e-05	0.00031069215	0.747598	0.25201702
a39	2.189443e-09	4.1230603e-08	1.4100839e-06	0.005308048	0.9932655	0.0014249671
a31	2.6580356e-06	5.620315e-06	8.041445e-06	0.00012288224	0.6266881	0.37317264
a20	1.0258254e-08	1.8417066e-07	4.8599363e-06	0.006974835	0.9904655	0.002554629
a31	5.5369827e-07	9.842097e-07	1.1651555e-06	2.6313548e-05	0.28962296	0.71034807
a46	6.509795e-08	1.0180498e-06	1.8148468e-05	0.007702859	0.985402	0.006875938
a8	4.2734847e-08	9.664756e-08	1.873721e-07	2.0102436e-05	0.21101265	0.78896695
a46	3.6898684e-09	1.4294884e-08	5.401093e-08	2.5256097e-05	0.41524848	0.58472615
a8	4.1705657e-09	2.099999e-08	1.0252323e-07	4.7537374e-05	0.41659215	0.5833602
a31	6.4334262e-09	2.954413e-08	1.1777385e-07	3.8863727e-05	0.38574752	0.61421347
a20	2.3628531e-06	1.9521893e-05	0.00010367885	0.0044911467	0.9408512	0.05453215
</S>	4.4565778e-09	1.9194877e-08	8.755034e-08	3.3056e-05	0.17950383	0.820463
