 	l	ho	sentito	che	viene	</S>
a34	0.0003949489	0.00073354674	0.00038332987	0.03198954	0.12000298	0.8464957
a46	5.0836525e-07	2.3143903e-06	2.7129807e-05	0.009953164	0.06574667	0.9242702
a41	0.0003534314	0.000778409	0.002138623	0.014115385	0.052068207	0.9305459
a19	0.00038877103	0.0008740678	0.0028602143	0.014435087	0.041188993	0.9402529
a31	0.023050712	0.0449117	0.050284185	0.058029808	0.05092821	0.7727954
a20	4.2989188e-05	0.00013576279	0.00029741853	0.010536837	0.05093946	0.9380475
a31	0.13096522	0.13125113	0.038129266	0.019448651	0.025413606	0.6547921
a24	0.00011061028	0.00040064994	0.0012351719	0.029306	0.0876866	0.881261
a31	2.7341e-05	9.125844e-05	0.00040978388	0.015456376	0.05504281	0.9289724
a23	0.00025607727	0.0008368894	0.0032584902	0.03399324	0.085676394	0.87597895
a20	0.008389002	0.0074555245	0.0028124838	0.015327878	0.02275757	0.9432575
</S>	0.0044211936	0.0046659657	0.0022289369	0.016849892	0.022244161	0.9495898
