 	non	deve	magniare	la	sera	</S>
a20	6.698413e-05	0.00048214852	0.0014440536	0.08741892	0.13234866	0.77823925
a31	0.10903674	0.30834725	0.33688277	0.12717257	0.034680847	0.083879724
a18	6.188699e-08	8.1893916e-07	2.9803923e-06	0.03551305	0.40141904	0.56306404
a37	0.0005513063	0.0019883905	0.0028104235	0.061094638	0.24757881	0.6859764
a18	0.0027442311	0.011773264	0.013270823	0.054140594	0.20489642	0.7131747
a31	0.01989339	0.09195983	0.07445731	0.02514149	0.10004309	0.6885048
a13	0.0005127997	0.003624632	0.00423585	0.18643586	0.26305342	0.5421374
a31	0.0016784869	0.0098286355	0.006994746	0.011470261	0.119963855	0.850064
a17	0.0003247204	0.0051845335	0.007734198	0.3125692	0.32658476	0.34760258
</S>	1.4001779e-05	8.357205e-05	7.081293e-05	0.0013244664	0.08468023	0.91382694
