 	prima	di	andare	alla	scuola	</S>
a7	7.346387e-07	4.3224118e-06	0.00055227114	0.014755529	0.9644819	0.020205323
a11	0.00023879729	0.0007903187	0.0070655565	0.0015326003	0.9851311	0.0052417303
a43	2.5263246e-06	1.0879103e-05	0.00040542978	0.001026743	0.9960465	0.0025078196
a20	1.7436856e-05	5.9058035e-05	0.0008488864	0.0007007077	0.9952335	0.0031404682
a31	1.8166587e-05	4.501474e-05	0.0002973297	0.00035792167	0.994825	0.004456559
a20	1.8979323e-06	9.146768e-06	0.0005225283	0.002067793	0.9954385	0.0019601663
a31	3.4321478e-05	5.1905892e-05	0.00013668483	0.0002925971	0.98544717	0.014037432
a20	4.568457e-06	2.7210428e-05	0.0026137312	0.0067968103	0.98715913	0.0033986126
a31	3.3214737e-06	3.704407e-06	1.7992023e-05	0.0004270282	0.94510823	0.054439686
a20	1.0321235e-05	6.143189e-05	0.006220413	0.014635416	0.96811813	0.010954188
a31	6.511162e-08	1.0014511e-07	1.981602e-06	0.00040942876	0.8751135	0.12447495
</S>	2.1439955e-05	9.282394e-05	0.003984458	0.014616807	0.9512014	0.03008302
