 	è	facile	che	stanno	ancora	svegli	</S>
a31	1.4102454e-05	2.3602158e-06	2.167451e-06	0.00034775425	0.39718658	0.5629498	0.039497346
a39	1.502459e-06	2.0867685e-07	1.5981252e-07	4.4945796e-06	0.005229044	0.99179584	0.0029687604
a31	0.00059283304	0.00015485681	0.00013862595	0.0008013901	0.008112025	0.94791263	0.042287625
a0	2.1598225e-09	2.9475178e-10	2.2245637e-10	1.1605352e-08	0.000176494	0.9982407	0.0015828018
a31	0.00046657262	0.00012102106	0.00011764694	0.00055507146	0.0035153502	0.8673047	0.12791973
a13	2.5866107e-09	2.9832117e-10	2.462879e-10	1.19711165e-08	0.00015250378	0.9984652	0.0013823569
a31	0.0001378026	3.6377358e-05	3.7575934e-05	0.00016465453	0.0010950051	0.7751487	0.2233798
a37	5.040765e-09	4.806389e-10	4.2890203e-10	2.1184437e-08	0.00020747333	0.9981755	0.0016169455
a31	5.3440242e-05	1.8707873e-05	2.2027582e-05	6.612609e-05	0.00018599418	0.3943343	0.60531944
a11	2.2198714e-08	1.6763653e-09	1.5976048e-09	8.639178e-08	0.00055435597	0.99689627	0.0025491875
a39	6.5681365e-06	2.614606e-06	3.6003225e-06	8.404325e-06	3.3081375e-05	0.31820938	0.68173635
a0	2.4820015e-06	9.181418e-07	1.3373314e-06	3.2880112e-06	1.8905577e-05	0.27792758	0.7220455
a41	5.7050147e-06	1.7083034e-06	2.78434e-06	4.55724e-06	3.0515537e-05	0.16002588	0.83992887
a0	2.737535e-05	7.0018523e-06	1.1273695e-05	2.2343003e-05	0.00022168166	0.3644635	0.6352468
a20	3.6862475e-05	7.600142e-06	1.2532523e-05	2.472928e-05	0.00033691546	0.32918793	0.6703934
a31	4.0680497e-05	7.4098753e-06	1.2100875e-05	2.5798881e-05	0.00047740617	0.35672924	0.64270735
a30	0.0002525273	3.8375434e-05	4.7296093e-05	0.0003851441	0.012651823	0.77659553	0.21002924
a41	7.709648e-06	1.9757047e-06	3.1935906e-06	6.036588e-06	0.00014378698	0.30235112	0.6974862
a31	1.7842855e-05	4.825772e-06	7.705644e-06	1.3728086e-05	0.0002891505	0.40787008	0.5917966
</S>	0.00019854645	3.4225865e-05	4.1673673e-05	0.00039258492	0.011283405	0.70695287	0.28109676
