 	viene	fabbricato	</S>
a31	4.3220825e-06	0.9993717	0.00062406866
a24	2.8267596e-06	0.9994252	0.00057203055
a31	3.176631e-06	0.9939772	0.0060195434
a18	2.9416074e-06	0.9883371	0.011659975
a31	8.51711e-05	0.972629	0.027285812
a37	3.2764563e-06	0.9856574	0.014339316
a31	4.3895834e-05	0.7999513	0.20000476
a20	4.963074e-06	0.9931613	0.006833671
a41	3.2403082e-06	0.09229805	0.9076987
a31	1.7694704e-06	0.19784169	0.8021565
a35	2.7558674e-05	0.9910433	0.008929121
</S>	5.1844404e-07	0.008281609	0.9917178
