 	mi	sono	vestito	</S>
a39	0.00014100588	0.031778485	0.9673962	0.0006843347
a11	0.00014165277	0.0014104744	0.9984156	3.2216263e-05
a13	1.9485266e-05	0.00059009675	0.9993593	3.1140902e-05
a18	7.91344e-05	0.0007831169	0.9990294	0.00010837495
a31	7.3097566e-05	0.00041601883	0.9990701	0.00044078217
a37	1.7080107e-05	0.00066648994	0.99927753	3.9002498e-05
a15	6.066396e-05	0.00021009847	0.99876523	0.0009640476
a31	5.1434603e-05	0.00014601648	0.9936382	0.006164317
a46	0.00068236346	0.0029601166	0.99609023	0.00026729307
a31	4.9444375e-06	3.4896406e-05	0.9873582	0.012602047
a20	4.3775795e-05	0.0006106339	0.9985733	0.00077235023
a31	2.0765334e-07	5.716876e-06	0.94947016	0.050523937
</S>	6.742759e-06	0.00020503608	0.9973297	0.0024585952
