 	venne	scritto	</S>
a31	0.30268782	0.44443446	0.2528777
a28	0.27173847	0.66376615	0.064495355
a8	0.10664186	0.82009584	0.07326229
a31	0.12359391	0.7811324	0.09527375
a20	0.17359039	0.7893225	0.037087068
a31	0.019811388	0.78240234	0.19778624
a13	0.15428911	0.8091246	0.036586348
a29	0.008958663	0.72705513	0.2639862
a39	0.007071841	0.71933556	0.27359262
a31	0.013374854	0.62368506	0.36294004
a35	0.087203	0.8351983	0.077598765
a31	0.0037275376	0.41607824	0.58019423
</S>	0.11286705	0.80347174	0.08366126
