 	puoi	non	parlare	di	questa	cosa	con	Anna	</S>
a8	9.0627583e-07	9.908015e-07	9.046714e-05	0.002087341	0.011619037	0.0062459935	0.6843677	0.13031404	0.1652735
a28	0.020949671	0.009878478	0.0075255814	0.01731327	0.024219036	0.015961401	0.096767016	0.17105421	0.6363313
a31	0.005598508	0.0029062408	0.0076829935	0.024755308	0.04361861	0.028954364	0.16866526	0.11743647	0.60038227
a8	2.59512e-08	2.9044516e-08	1.42319495e-05	0.00026486957	0.00078720035	0.0010378176	0.91877484	0.045339864	0.033781033
a31	0.0023634306	0.0015392562	0.0018515668	0.0042861123	0.005279394	0.0042736307	0.040700573	0.18333179	0.75637424
a28	4.531892e-09	5.1552287e-09	4.1003095e-06	9.1788206e-05	0.00028141914	0.00051348156	0.93782824	0.035486285	0.025794717
a10	0.00035204808	0.00022909451	0.000319688	0.00077417755	0.00090178294	0.0006668315	0.0080950055	0.14907375	0.8395876
a39	5.4066237e-05	3.768806e-05	0.00016265482	0.0005920076	0.00086150895	0.0008033762	0.036330868	0.20406196	0.7570958
a31	8.726038e-05	4.3147364e-05	5.4440643e-05	0.00016307454	0.0002357887	0.00019626584	0.007668193	0.144153	0.8473989
a20	8.60315e-08	9.5922374e-08	2.6576257e-05	0.00043751724	0.0010430851	0.0012188216	0.86425877	0.079727635	0.05328745
a31	5.3540003e-05	2.7661037e-05	1.5471192e-05	3.6157257e-05	4.1315532e-05	2.0531957e-05	0.0003535764	0.09977005	0.8996817
a18	6.9039764e-08	8.4312724e-08	3.4347584e-05	0.000588495	0.0013518389	0.0014429995	0.8430579	0.09492113	0.058603168
a41	1.6178376e-05	8.396762e-06	5.296873e-06	1.4076556e-05	1.6538803e-05	7.1796107e-06	0.00020075617	0.1060895	0.89364207
a7	3.3138883e-06	1.9667891e-06	6.2926692e-06	2.9618252e-05	4.3430886e-05	2.2732394e-05	0.0030073773	0.1987748	0.7981105
a38	1.70493e-05	8.1498265e-06	1.30550825e-05	4.987363e-05	6.968281e-05	3.2676686e-05	0.002106649	0.15308079	0.8446221
a10	7.967053e-05	3.139702e-05	2.1153635e-05	5.2340474e-05	6.966459e-05	4.6964255e-05	0.0013830714	0.120565556	0.8777502
a31	7.633978e-05	3.1339106e-05	3.5436213e-05	0.00011158952	0.00015766839	8.225192e-05	0.0027194049	0.15505508	0.84173095
a46	7.2914922e-06	8.525512e-06	0.0009182199	0.011857625	0.023564259	0.009458895	0.59800136	0.19552627	0.16065751
a31	5.0938506e-06	2.4747983e-06	2.8611516e-06	9.039202e-06	1.1397824e-05	4.927731e-06	0.0002247595	0.13473597	0.86500347
a24	2.4719504e-06	3.469863e-06	0.000889079	0.012356304	0.025066754	0.009422011	0.6241119	0.20981927	0.11832882
a28	2.3966686e-06	1.4409369e-06	1.32897385e-05	0.00012110553	0.00021253263	7.2861185e-05	0.015592841	0.3590081	0.6249754
a24	1.6186899e-06	8.580531e-07	2.38797e-06	8.942883e-06	1.2072634e-05	5.6368076e-06	0.0004455114	0.17245117	0.8270718
a15	1.0346296e-05	4.628205e-06	1.7012686e-05	0.0001185844	0.00021861987	8.478159e-05	0.016875988	0.24253419	0.74013585
a24	2.5001335e-05	1.1671505e-05	2.7089976e-05	8.185061e-05	0.00011580959	5.7025736e-05	0.0022250256	0.17234033	0.82511616
a21	6.2916515e-05	2.3422012e-05	5.1971285e-05	0.0003112561	0.00058072485	0.00019467008	0.02450359	0.22072837	0.7535431
a31	7.683549e-05	3.6432084e-05	0.000100108344	0.00033493043	0.0004902548	0.00020541859	0.0070746103	0.20761295	0.7840685
a20	0.00019487516	0.0002149214	0.014869081	0.13141362	0.23065068	0.043392412	0.28345236	0.12826455	0.16754757
a31	7.683309e-07	5.9531953e-07	1.0041085e-05	5.786225e-05	8.304905e-05	3.123021e-05	0.0026730546	0.19020204	0.80694133
a8	5.2938798e-05	5.50416e-05	0.005198369	0.04894963	0.08914723	0.015628263	0.18123174	0.3169455	0.34279132
a31	2.8442747e-08	2.9682246e-08	1.6229187e-06	1.1621734e-05	1.7617447e-05	6.7798933e-06	0.0010039182	0.1817563	0.8172021
a20	2.6566018e-05	2.1928183e-05	0.0013465656	0.013807174	0.026454514	0.004236223	0.105301	0.44550303	0.40330297
a31	6.622452e-09	7.3547968e-09	7.568583e-07	6.9624425e-06	1.1009059e-05	3.949828e-06	0.00075332803	0.18259011	0.8166338
a20	2.035921e-05	1.5500278e-05	0.00076360523	0.007926714	0.015456655	0.0024849772	0.08277807	0.4647865	0.42576766
a31	3.026367e-09	3.4531817e-09	4.826201e-07	5.0889626e-06	8.282374e-06	2.8261475e-06	0.0006363822	0.19014534	0.8092016
a8	1.6744338e-05	1.2175343e-05	0.00055232405	0.0057918346	0.011395727	0.001837295	0.071319476	0.47105363	0.43802074
a31	1.0428002e-09	1.241113e-09	1.8504015e-07	2.047984e-06	3.4113464e-06	1.1834063e-06	0.0004231447	0.20965521	0.78991485
a49	9.015743e-06	6.2387485e-06	0.00028292186	0.0031276555	0.0063186167	0.0010679376	0.059880156	0.48291892	0.44638854
