 	essendosi	vestito	</S>
a46	0.98959243	0.0103681395	3.93502e-05
a31	0.04653817	0.95291406	0.00054780743
a18	0.8211166	0.17888254	7.48821e-07
a31	0.011099513	0.9884797	0.0004208001
a20	0.5619064	0.43809187	1.6813912e-06
a46	0.0042202366	0.99465936	0.0011203958
a20	0.001425985	0.99614525	0.0024288048
a31	0.00091841514	0.9941058	0.0049757888
a0	0.13119616	0.8687164	8.7440996e-05
a46	0.002292765	0.9906951	0.0070121177
a35	0.0020284473	0.9890225	0.008949041
a46	0.0027210813	0.9924355	0.004843391
a24	0.0039472454	0.9909917	0.0050610704
a46	0.0016856976	0.9898981	0.008416271
a24	0.0050495686	0.9900323	0.0049181846
a31	0.0015878475	0.9875492	0.010862988
</S>	0.01118089	0.9860385	0.0027806272
