 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a31	4.169061e-06	5.3276844e-06	3.193532e-06	1.8745297e-05	0.00020025898	0.0054350807	0.8678913	0.11440965	0.012032315
a8	2.5337871e-05	3.7064223e-05	1.9825942e-05	6.510075e-05	0.00025446797	0.003094485	0.6780845	0.3151656	0.0032536988
a31	0.0062293294	0.009389467	0.0040814015	0.005895867	0.0073429435	0.0136891045	0.08598032	0.8544512	0.012940292
a29	6.7162254e-08	1.7394714e-07	1.4458567e-07	8.3817423e-07	1.2446972e-05	0.00032621485	0.3537777	0.6419345	0.0039479383
a11	0.0010394283	0.001967746	0.0008724528	0.0012650244	0.0023183483	0.004496694	0.041006207	0.9198946	0.027139537
a31	9.97989e-05	0.00023300912	0.00010944898	0.00020265624	0.00061650336	0.0020514347	0.06522083	0.91368383	0.017782487
a17	3.781349e-07	1.1690709e-06	1.0405133e-06	4.7719864e-06	6.0613827e-05	0.0009046213	0.3194273	0.6760821	0.0035179495
a21	0.0012284381	0.0024559628	0.0012203434	0.0016586526	0.0027408814	0.003974022	0.0203749	0.92759717	0.03874955
a24	0.00047387363	0.001142736	0.00053141953	0.0007370961	0.0013382705	0.0021681038	0.017396769	0.93517804	0.041033693
a31	0.0022258991	0.005481122	0.0016095845	0.0019484529	0.0037678115	0.004299128	0.022068134	0.83567846	0.12292144
a18	7.2992716e-06	2.170983e-05	2.5823485e-05	0.000119087475	0.0011885738	0.009024984	0.61872816	0.3697007	0.0011837785
a31	0.0013813409	0.0032826078	0.0013118928	0.0015581431	0.0026762215	0.0030366948	0.01357708	0.8953579	0.077818155
a8	1.3442306e-06	5.965269e-06	1.0377631e-05	6.2507585e-05	0.0009645069	0.008495204	0.71933174	0.27058718	0.00054127263
a31	0.00010455784	0.00026557493	0.00012132715	0.00015696842	0.00030570224	0.00039169815	0.0037170285	0.919125	0.075812034
a11	1.0221123e-06	5.99016e-06	1.2437292e-05	8.381968e-05	0.0015647009	0.01251821	0.81469715	0.17080767	0.00030899877
a31	1.1767751e-05	4.098412e-05	2.3117635e-05	3.5515914e-05	0.00010976405	0.00017291874	0.003279441	0.92340213	0.0729243
a8	2.1360684e-06	1.4980486e-05	3.1565956e-05	0.00019869678	0.0034720586	0.02072408	0.7750847	0.2000169	0.00045488545
a24	9.149396e-07	2.8666525e-06	2.0144678e-06	3.688079e-06	1.3039836e-05	2.5646943e-05	0.0009857536	0.89195627	0.107009746
a31	4.200082e-07	2.7241813e-06	2.4481917e-06	7.2474254e-06	8.199947e-05	0.0003307864	0.034221657	0.94009185	0.025260843
a37	1.1153798e-05	8.3276114e-05	0.00014240257	0.0006858821	0.009078224	0.033245802	0.5956246	0.3594918	0.0016368058
a31	1.2071929e-07	4.834352e-07	4.6953613e-07	1.0606732e-06	5.7124457e-06	1.3117949e-05	0.0007378952	0.8231067	0.17613438
a28	8.292046e-06	7.276754e-05	0.00010861923	0.00046273146	0.006270036	0.019070717	0.38104632	0.5898507	0.0031097592
a31	1.9930184e-08	7.922167e-08	9.842235e-08	2.5887522e-07	1.7777215e-06	4.9916616e-06	0.00046142374	0.808159	0.19137228
</S>	8.605488e-06	7.6040466e-05	9.394383e-05	0.00033648295	0.0040333676	0.010592233	0.22286579	0.7565133	0.005480294
