 	tu	quante	bottiglie	hai	rotto	dieci	</S>
a21	5.0112562e-06	0.00033055898	0.0004319574	0.0025981935	0.07869341	0.7503389	0.16760203
a20	0.0074445973	0.0042612334	0.00046200096	0.00016175074	0.00048993854	0.7381164	0.24906412
a35	0.0019011197	0.0024990807	0.00029225086	9.742619e-05	0.00032456513	0.7669039	0.22798164
a20	0.0017296873	0.0016319538	0.00020694373	9.383502e-05	0.00024234052	0.7655678	0.23052742
a38	0.0010428265	0.0008513104	0.00012725999	8.4891384e-05	0.00022653921	0.7699712	0.22769602
a31	0.0007890675	0.0004430672	8.622539e-05	8.7870285e-05	0.0002147678	0.7594901	0.23888896
a18	0.00013527818	0.0011536755	0.0009668823	0.0024956053	0.0013758343	0.86674124	0.12713148
a23	6.1707455e-05	5.1713283e-05	1.7390006e-05	7.2162664e-05	0.0003097747	0.7872246	0.2122626
a24	6.0909897e-05	3.42593e-05	1.827337e-05	6.157278e-05	0.00025258155	0.7502299	0.2493425
a37	0.00011290318	0.00011837072	0.00010708773	0.0005002185	0.0015159807	0.79709446	0.20055102
a20	9.794103e-05	0.000101282145	6.42476e-05	0.0002950371	0.00074791	0.81126475	0.18742879
a31	7.798479e-05	8.2142826e-05	7.009437e-05	0.000302362	0.0007204787	0.781053	0.21769395
a20	0.0068118083	0.008934701	0.0027403068	0.011444906	0.011646059	0.84726685	0.1111553
a33	1.2109483e-05	2.5475434e-05	3.295421e-05	0.0002942335	0.0011448629	0.7899916	0.20849873
a31	7.670577e-06	1.7158576e-05	3.020334e-05	0.00019739562	0.00077533995	0.7487137	0.25025862
a20	0.00069130684	0.0016057921	0.0013637184	0.012529033	0.017580593	0.8367319	0.12949763
a31	1.1775383e-06	8.34333e-06	2.8126426e-05	0.00037873592	0.0017672535	0.7655559	0.23226053
a20	5.2453994e-05	0.0005399629	0.0010079863	0.009135703	0.012663507	0.8161299	0.16047043
a31	6.665148e-08	2.026032e-06	1.6116966e-05	0.0002928162	0.0018609451	0.72843385	0.26939422
</S>	2.672892e-06	0.00027823064	0.0008365001	0.0033717912	0.005423499	0.79268664	0.19740066
