 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	4.7202597e-05	9.2038674e-05	2.9697374e-05	3.077572e-05	1.764983e-05	3.283352e-05	0.013676956	0.6456546	0.20063752	0.13978073
a37	0.0002370482	0.00038997122	0.00014568173	0.0001421864	0.000103568076	0.00012713615	0.018255709	0.88327163	0.07582771	0.021499366
a31	0.0424838	0.06330149	0.036018793	0.031439394	0.02329734	0.018484538	0.09443856	0.3852024	0.17003877	0.13529496
a20	7.7735274e-07	1.5055026e-06	4.7067422e-07	4.0192495e-07	4.17729e-07	1.5338993e-06	0.0011170903	0.895572	0.0854191	0.017886749
a31	0.021116376	0.031602334	0.018489305	0.016015481	0.012416913	0.0105756875	0.058702745	0.3097361	0.27478525	0.24655971
a13	7.873557e-07	1.5230253e-06	4.995072e-07	4.3753624e-07	5.011806e-07	2.0917228e-06	0.0014640724	0.91877747	0.06706666	0.0126859555
a31	0.0074985903	0.011429772	0.0065812897	0.005907648	0.004808707	0.0044997376	0.037834466	0.30251467	0.3290779	0.28984722
a20	1.0137144e-06	1.9627112e-06	6.567861e-07	6.1588764e-07	7.737857e-07	3.542732e-06	0.002513561	0.94188005	0.04709947	0.008498415
a17	0.0033297997	0.0050134375	0.0032506525	0.0029503359	0.0023058194	0.0018039746	0.012508441	0.13187815	0.3859567	0.45100272
a20	0.001076267	0.0017285108	0.0010668725	0.0010377391	0.0007909062	0.0006311015	0.0069400906	0.21425775	0.38775077	0.38472003
a31	0.0024493441	0.003957588	0.002634215	0.002534183	0.0016932313	0.0010245261	0.008372528	0.12220251	0.33183366	0.52329826
a20	6.4060856e-05	0.00011910324	4.202115e-05	4.6474062e-05	5.595774e-05	0.00017055073	0.055039104	0.90166086	0.03370128	0.009100638
a31	0.00039627502	0.00059737446	0.00047707988	0.00046788756	0.0003164666	0.00018418801	0.0019808933	0.05460363	0.3221793	0.618797
a3	4.9819137e-05	9.721351e-05	3.639757e-05	4.392039e-05	6.1561266e-05	0.0002249092	0.07731158	0.89132535	0.02369069	0.007158548
a8	1.5694395e-05	2.5015794e-05	1.8586898e-05	1.9394174e-05	1.4374681e-05	1.1492848e-05	0.00035774725	0.046739772	0.3530583	0.5997396
</S>	3.7847233e-06	5.827286e-06	3.949024e-06	4.426706e-06	3.4223442e-06	3.0049584e-06	0.0001200947	0.03293711	0.30919626	0.6577222
