 	non	ha	da	mangiare	</S>
a31	1.3253317e-06	2.1451035e-05	0.0057571027	0.9769776	0.017242523
a20	7.149633e-08	4.2291174e-07	0.00011999327	0.9980234	0.001856093
a31	0.0002208564	0.0004573166	0.002661085	0.89413804	0.102522716
a41	1.1752141e-10	1.3221917e-09	7.3113765e-06	0.9974744	0.00251834
a10	1.059201e-05	2.1061755e-05	0.00026978645	0.73301053	0.266688
a31	2.0922655e-06	5.2382843e-06	0.00010413198	0.6524864	0.34740216
a15	5.769495e-10	4.4210795e-09	1.1341308e-05	0.9932701	0.0067184847
a31	6.946533e-06	8.604057e-06	2.854591e-05	0.091017656	0.9089383
a39	2.582205e-09	1.9582215e-08	3.4810753e-05	0.99424666	0.0057185125
a37	4.928409e-07	5.6556087e-07	3.0945894e-06	0.035354428	0.96464145
</S>	1.16436645e-07	1.7896501e-07	2.7104534e-06	0.050763223	0.94923383
