 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	4.1704056e-06	6.893666e-05	0.0046538287	0.00055013044	0.00029557393	0.0011555993	0.003959721	0.0010658572	0.21825239	0.48600146	0.28399235
a31	0.052596767	0.14716204	0.24686651	0.032875597	0.03941143	0.1181289	0.055959772	0.0017055603	0.01115539	0.08155742	0.21258058
a20	4.110578e-08	5.452254e-07	0.00014857501	5.9652964e-05	1.466096e-05	2.0156553e-05	0.00022212094	0.0016261281	0.4562238	0.33407265	0.20761165
a13	0.0057977224	0.017612359	0.04810203	0.009530933	0.010056213	0.020800017	0.012511416	0.0010210298	0.012338367	0.18928204	0.67294794
a37	0.0009466049	0.004747081	0.034125958	0.007037792	0.0061534815	0.01339385	0.01302201	0.0015603275	0.025753934	0.22523892	0.66802007
a31	0.0039038316	0.014465311	0.04935221	0.008527745	0.008664119	0.020839833	0.013536747	0.0010897777	0.01693608	0.19197044	0.67071396
a43	2.0655357e-07	2.2670322e-06	0.0003456195	0.00014774718	3.8114184e-05	4.8059508e-05	0.00038217724	0.0022611013	0.33286312	0.38767383	0.27623776
a31	0.000428621	0.0012504472	0.003806538	0.0007595985	0.00069242483	0.0013693307	0.0008511283	0.00011976946	0.007223422	0.21896644	0.7645322
a24	1.3525724e-07	1.7116529e-06	0.00058817456	0.00031398764	6.642875e-05	6.57354e-05	0.00074208505	0.0055369018	0.48715493	0.31219634	0.19333355
a7	1.2086675e-05	6.3263615e-05	0.0017615653	0.00043853032	0.00017201492	0.00023966233	0.00047014334	0.00033983876	0.030460455	0.288337	0.6777054
a31	0.00034427253	0.001050882	0.0029995814	0.0005680703	0.00048136245	0.000996242	0.00060857984	9.317045e-05	0.0063411486	0.22424379	0.76227283
a13	1.4185687e-06	1.992769e-05	0.006881624	0.003706863	0.0007573298	0.00069005135	0.006726338	0.019545205	0.361982	0.35744053	0.24224879
a28	8.941724e-05	0.00024039956	0.0007511523	0.00016423025	0.00013496348	0.00024343544	0.00015155392	3.3812124e-05	0.0029521654	0.22012818	0.7751107
a20	7.729596e-05	0.00028826908	0.001317754	0.0002689363	0.00019846275	0.00037931086	0.00027992539	6.284572e-05	0.0072845086	0.23855741	0.75128525
a31	0.00032313654	0.0009907705	0.0025712936	0.00045658383	0.0003728553	0.0008188826	0.00049710297	8.77169e-05	0.0077442606	0.21395612	0.7721813
a37	6.5115632e-06	0.00010130502	0.037927855	0.018908834	0.0038397312	0.0034251853	0.029944554	0.039715484	0.2448238	0.3430115	0.27829528
a1	2.7182861e-05	6.993147e-05	0.00025984133	6.170089e-05	4.4245266e-05	7.371739e-05	5.407231e-05	2.3408991e-05	0.0028316888	0.20675382	0.78980047
a28	4.6322646e-05	0.00023604224	0.002795531	0.0006334515	0.00030668103	0.00049566664	0.000608451	0.00027936557	0.021495106	0.2756332	0.6974702
a1	0.0003294904	0.0011338765	0.0037921185	0.0007333778	0.0004959647	0.001015492	0.0007577961	0.00021189089	0.013841869	0.250142	0.7275461
a28	0.00054736953	0.002098548	0.0096260905	0.0018333088	0.0010305349	0.002069764	0.0018679092	0.0006057338	0.029147496	0.28256077	0.6686125
a31	0.00063737517	0.0020967822	0.0071408884	0.0014689072	0.0008714083	0.0017797602	0.0015993519	0.00059254747	0.026654646	0.27702594	0.68013245
a20	4.244215e-05	0.0007485628	0.28820384	0.10694441	0.022176236	0.020077318	0.12311292	0.04501068	0.07014011	0.14392234	0.17962115
a31	1.6984795e-06	5.873672e-06	8.847847e-05	4.156159e-05	1.649052e-05	1.7183327e-05	3.672901e-05	0.00011742752	0.01027864	0.21617809	0.7732178
a20	1.46431175e-05	0.00024850902	0.20440638	0.07846406	0.014487533	0.010949904	0.09018229	0.027989626	0.09796885	0.22688052	0.24840774
a31	4.4276803e-08	1.7637552e-07	9.454072e-06	7.009427e-06	1.8272633e-06	1.302061e-06	6.386613e-06	5.6005752e-05	0.0066586453	0.19525705	0.7980021
a8	1.7698569e-05	0.00019952073	0.10171714	0.03532585	0.0066841366	0.005386135	0.04082106	0.014086813	0.12216029	0.31173941	0.36186194
</S>	2.1822024e-09	8.736497e-09	9.123529e-07	9.038994e-07	1.7573849e-07	9.984089e-08	8.931412e-07	1.4495351e-05	0.00362095	0.20469496	0.7916666
