 	puoi	non	parlare	di	questo	con	Anna	</S>
a31	2.1243878e-07	2.3360758e-07	2.1824477e-05	0.00060839235	0.00051027734	0.83113694	0.077275015	0.09044711
a20	9.643418e-07	9.967966e-07	4.6461355e-05	0.00054998207	0.00026990214	0.89099914	0.05482162	0.053310964
a11	5.8050045e-05	3.6204736e-05	3.6737092e-05	8.5683656e-05	2.6040416e-05	0.0022299136	0.113329016	0.8841983
a10	4.8658103e-06	2.8271263e-06	1.0617533e-05	5.128757e-05	1.978036e-05	0.022025025	0.1744496	0.80343604
a39	6.5537104e-05	3.4311604e-05	5.3336807e-05	0.00015640317	4.5165325e-05	0.0037395144	0.1052596	0.89064616
a7	5.184306e-05	2.1864316e-05	2.8156172e-05	8.931626e-05	2.5618181e-05	0.0026758644	0.088893384	0.90821403
a37	0.00016114333	6.564304e-05	8.326382e-05	0.0002739818	7.45207e-05	0.0037192646	0.08776926	0.9078528
a8	0.00042329484	0.00017069906	0.00018908741	0.0005867235	0.00015032523	0.0050424105	0.09090219	0.9025353
a18	0.0014884633	0.0005368445	0.00028891387	0.0007115887	0.00017020594	0.0050204583	0.10640977	0.8853737
a46	0.0014736566	0.00047483304	0.0003463128	0.0010214524	0.0002765868	0.007832497	0.10280654	0.88576806
a31	0.0020675065	0.00067813654	0.0005374467	0.0016816237	0.00045350526	0.013989522	0.13061067	0.84998155
a18	0.0035006064	0.0020193947	0.0065920074	0.035470106	0.011708595	0.12998433	0.15660518	0.65411985
a24	0.00012312282	4.808839e-05	7.2608535e-05	0.0003029094	0.000112190275	0.0066438476	0.14036486	0.85233235
a28	0.00087984436	0.00025308868	0.00023171671	0.0006291509	0.00033751223	0.0039868075	0.072531015	0.921151
a31	0.00059262174	0.0002097914	0.00036262293	0.0015028798	0.00053801533	0.026185194	0.17600076	0.79460806
a20	0.001433525	0.00081996736	0.0026764716	0.017527984	0.0061179097	0.11148385	0.20339401	0.6565463
a31	1.9092078e-05	8.775537e-06	3.8321527e-05	0.00021108241	0.00011133811	0.010343054	0.1833478	0.80592054
a3	6.441834e-05	5.5313467e-05	0.0011470763	0.013363539	0.0041505503	0.08788459	0.25136682	0.64196765
a31	3.860673e-06	2.1031833e-06	1.790446e-05	0.00012798091	7.648337e-05	0.0069196844	0.17004903	0.8228029
a20	1.4353297e-05	1.6337122e-05	0.0018357981	0.020083666	0.004143202	0.074180596	0.33589175	0.5638343
a31	1.9568066e-07	1.73166e-07	6.2388413e-06	5.494452e-05	4.2848333e-05	0.0047401516	0.18150003	0.8136554
</S>	3.5606736e-05	3.474358e-05	0.0027698046	0.024158206	0.0042885784	0.094619334	0.3881675	0.4859263
