 	che	non	li	aspetiamo	</S>
a20	1.4120983e-06	3.7181828e-05	0.014729336	0.0022287474	0.9830033
a8	0.0022570477	0.0035084032	0.0060900487	0.0011994214	0.9869451
a7	0.0010838163	0.0017008168	0.003922002	0.001211383	0.992082
a35	0.00039917213	0.0006634672	0.00083278446	0.00040911353	0.9976954
a46	0.0006841178	0.000590783	0.0005796193	0.0004913431	0.99765414
a31	0.0008787257	0.0005481803	0.0005304453	0.00060138456	0.9974413
a11	0.0002650261	0.000991287	0.0021945501	0.0008540307	0.9956951
a31	7.980531e-05	6.8819376e-05	0.00014423282	0.000344752	0.9993624
a0	8.835613e-06	8.1988466e-05	0.004275169	0.003837423	0.9917966
a31	8.866445e-07	1.1168992e-06	5.6431916e-05	0.0018568321	0.9980848
a30	2.0885911e-06	4.8926275e-05	0.01671737	0.01542203	0.9678096
a0	1.7575782e-07	3.513489e-07	0.000111500754	0.0056161573	0.9942719
a31	1.9255869e-07	5.2397417e-07	0.00015329917	0.0054938947	0.9943521
</S>	4.6639966e-06	6.732607e-05	0.0064676874	0.015937753	0.97752255
