 	avete	cucinato	le	verdure	</S>
a29	0.80503635	9.2344963e-05	0.1833570965	0.0099459125	0.0015683276
a38	0.71109231	7.75728976667e-05	0.258388329833	0.0268878695	0.00355390053333
a31	0.53794293	3.74817315556e-05	0.401993563278	0.0501439575	0.00988203117778
a11	0.38216519	3.57952458519e-05	0.360283841093	0.235570295833	0.0219448630593
a37	0.330625743333	0.000104574422951	0.240161311698	0.392687065278	0.0364212943531
a11	0.487968814444	0.00029864071765	0.151735391899	0.308434781759	0.0515623527844
a31	0.519776021481	0.000372752439217	0.227264780633	0.204665030586	0.0479214135948
a20	0.64034965716	0.000414146899739	0.212152804378	0.111991150529	0.0350922205316
a31	0.726027352387	0.000510762203246	0.149905355626	0.0888111405097	0.0347453255105
a39	0.719981717462	0.00444792838442	0.131088352542	0.0814925470032	0.0629894071702
a13	0.715854719154	0.0267744737948	0.0672976388473	0.0530439191677	0.13702925239
a18	0.522172419718	0.0863497245983	0.0811507582824	0.0815763230559	0.228750777463
a39	0.353532079906	0.142586778199	0.113515680761	0.121864697685	0.268500749154
a31	0.393418043302	0.1316859414	0.138498750254	0.131280930895	0.205116299718
a46	0.382264367767	0.139063999133	0.148879736751	0.129813781965	0.199978093239
</S>	0.287176848884	0.172389284566	0.148628273375	0.138888005983	0.252917596619
