 	l	ho	sentito	che	viene	</S>
a34	0.76449225	0.15789195	0.000136061665	0.00187808005	0.00282362685	0.072778043515
a46	0.52605408	0.396751226667	0.000107246664667	0.00171484165	0.00265971212233	0.0727128658751
a41	0.44260299	0.531308832222	5.53279422223e-05	0.000826264816667	0.000951753579777	0.0242548042528
a19	0.530665446667	0.390790940741	0.0165979047484	0.0159886980722	0.0353368985599	0.0106200912086
a31	0.490973925556	0.250215770247	0.0313251025828	0.0315655723574	0.151390026187	0.0445295692695
a20	0.422406585185	0.127216347416	0.0312217965276	0.0290515157858	0.226218778729	0.163884949757
a31	0.374609045062	0.0734566058053	0.0420083961759	0.0367842239286	0.212570829576	0.260570916586
a24	0.311051215021	0.0700505412684	0.0578797727253	0.0550453513095	0.222740109859	0.283233045529
a31	0.236182191674	0.102323403756	0.0965258742418	0.0951741151032	0.218235369953	0.25155907851
a23	0.194936923891	0.136964004585	0.133720881414	0.133154538368	0.198253876651	0.202969762837
a20	0.18758647463	0.147792318195	0.144572627138	0.144262502789	0.189764882217	0.186021154279
</S>	0.190679477315	0.153912004097	0.150070398569	0.149855941394	0.179385696108	0.17609645714
