 	le	buone	canzoni	si	scrivono	alla	notte	</S>
a46	0.2105081735	0.62507935	0.02351191675	0.0001220519965	0.043221425	4.9539855e-06	0.0872762303	0.010275888225
a8	0.0894465790333	0.443127429667	0.0105215108633	0.000105094728167	0.0487206333333	4.2131905e-06	0.397732566767	0.0103419658283
a31	0.0347002072111	0.403883189556	0.0080468784011	4.28578437223e-05	0.0744288661111	3.5247474e-06	0.475024322256	0.0038701670961
a41	0.0162742598537	0.414253606519	0.00837041046703	3.54137729074e-05	0.102581932037	1.36130423667e-05	0.456129407419	0.00234135536537
a31	0.00604614833457	0.194757492173	0.00446888060568	7.24859443025e-05	0.0849028040123	5.46573531222e-05	0.705460235806	0.00423730238846
a0	0.00285773671152	0.116841982391	0.00227834745189	0.000128950838101	0.0704735880041	0.000116793681041	0.800055598602	0.00724701446282
a31	0.0131248822372	0.0655258314637	0.0014884017173	0.00151808087937	0.0753298793347	0.00087015328368	0.818738186201	0.0234045448209
a39	0.0216301527457	0.0323747994879	0.00304549667243	0.00499753929312	0.132488863112	0.00339597022789	0.7644948954	0.0375722382736
a31	0.0202415062486	0.022040115496	0.00438585012414	0.013632223431	0.193466914371	0.0086752844093	0.689396965133	0.0481611660912
a10	0.0241352064162	0.023192413832	0.00618838794138	0.0259587908103	0.28515008479	0.0172944291364	0.569626335044	0.0484543903637
a20	0.0230001058054	0.020993640944	0.00772292431379	0.0324493782701	0.433475261597	0.0223159237121	0.430624615015	0.0294181661212
a31	0.0158315842685	0.016804042648	0.00736457527126	0.03586669609	0.463693787199	0.025892644904	0.410402708338	0.0241439690404
a10	0.0203885437562	0.0231487508827	0.00847375859042	0.0406545236967	0.4452657724	0.0300148326347	0.406812082779	0.0252417476801
a20	0.0216434599187	0.0209106426942	0.00799051066347	0.0418168572322	0.4553827008	0.0286447735449	0.401761380926	0.02184968056
a31	0.0106027264062	0.0146473306314	0.0108931153545	0.0512389240774	0.4183582336	0.0373028881816	0.433818093642	0.0231386901867
a13	0.166518814902	0.0505697985438	0.0152513354515	0.0524506780258	0.3099413612	0.0424121817272	0.337902169547	0.0249536740622
a20	0.230072912301	0.0666673271813	0.0162676908172	0.0677618226753	0.274562827067	0.0627246052424	0.257555301516	0.0243875223541
a31	0.0899341694337	0.0384912767271	0.0284108486057	0.106218594225	0.332938199022	0.0989126097475	0.270786177172	0.0343081184514
a28	0.215743167811	0.0598660355757	0.0369632582019	0.093482467075	0.270908087674	0.0868382545825	0.195244775724	0.0409539678171
a24	0.33788944927	0.0875792065252	0.0445646730673	0.082618618025	0.182507003891	0.0842404848608	0.132456368575	0.048144202939
a46	0.211032230423	0.0693863421751	0.0550381556891	0.110222102675	0.246200137964	0.117398938287	0.136565196192	0.0541568929797
a39	0.168149800808	0.0526689980584	0.0467402268964	0.114076647558	0.308750279321	0.123876982762	0.141999265397	0.0437378266599
a46	0.161872143603	0.0545089880195	0.0606443472988	0.107262839186	0.311655703107	0.113609024254	0.139702695132	0.0507442545533
a8	0.125557451201	0.0550341553398	0.0814034454329	0.102945499729	0.334301501036	0.103808609418	0.135000618377	0.0619486861844
</S>	0.132294790601	0.0520061416699	0.0800582002164	0.0976088698645	0.349445310518	0.097605316709	0.131636794188	0.0593445500922
