 	non	deve	magniare	la	sera	</S>
a20	0.0199377055	0.000403374545	0.0078712605	0.326434605	0.589493465	0.05585965015
a31	0.0149385551533	0.000355383342667	0.00718540587667	0.281274125	0.636062535	0.06018402205
a18	0.0055771695711	0.000153071396556	0.00260793514222	0.100753012133	0.864564098333	0.0263447118167
a37	0.00605689539037	0.000299454353519	0.00251729452074	0.035246025411	0.942376566111	0.0135037397389
a18	0.0265497314635	0.00439344309451	0.0520564165069	0.084817616037	0.762366928704	0.069815809913
a31	0.0481433694878	0.0222295096982	0.173796438836	0.110518035346	0.451924302901	0.193388289971
a13	0.0504617744959	0.0363215898994	0.254303442945	0.134101455115	0.244253370967	0.280558336657
a31	0.0788098304986	0.0730266599665	0.251003610982	0.171039615038	0.157689676989	0.268430595552
a17	0.1022688235	0.102238003322	0.251951603661	0.174743478346	0.137291040996	0.231507051851
</S>	0.09584386175	0.094895296661	0.263399616831	0.204532454173	0.113913538498	0.227415240926
