 	sto	ancora	cucinando	</S>
a20	0.0072266442	0.1138903645	0.87606167	0.0028213287
a31	0.00469988140333	0.1223430065	0.87077179	0.00218533014667
a37	0.00167053012444	0.0861401201667	0.911354443333	0.000834917875557
a20	0.000729011934813	0.0351015727222	0.963825794444	0.000343639748519
a31	0.0339543090849	0.0488412089074	0.916990414815	0.000214082866173
a30	0.0605449003616	0.106548006302	0.804501088272	0.0284060506954
a46	0.0579691607872	0.125292055434	0.638842919424	0.177895903565
a31	0.0456333935957	0.106773805145	0.638426896475	0.209165883855
a39	0.229096527865	0.0986246250483	0.548735858825	0.123542957285
a15	0.492854409288	0.103274978349	0.273574839608	0.130295732428
a20	0.606835753096	0.0966066011163	0.181695676536	0.114861917476
a22	0.651811791032	0.0922606287054	0.164308695512	0.0916188358253
a31	0.538857007011	0.138012076235	0.217330548504	0.105800328608
a46	0.42611005567	0.178971428745	0.244951979501	0.149966509536
</S>	0.420974327835	0.185285919372	0.219227759751	0.174511964768
