 	siete	cucinato	</S>
a20	0.577628325	0.00041037395	0.4219613278
a31	0.560574901667	0.00185592919667	0.437569193933
a18	0.834744287222	0.00223927848222	0.163016473011
a21	0.944695895741	0.000907468894073	0.0543966937983
a37	0.97920169858	0.00176340874802	0.0190349259608
a21	0.956650399527	0.00987190591601	0.0334777042536
a31	0.903689576509	0.0171014503053	0.0792089747512
a18	0.687783315503	0.0305581694351	0.281658471584
a31	0.557516531834	0.0690222844784	0.373461130528
</S>	0.619759985917	0.0943220302392	0.285917945264
