 	vengono	vestiti	</S>
è	0.9799494	0.015665483	0.0043851696
r	0.998454	0.0010281866	0.0005178999
k	0.92267025	0.06813219	0.009197565
u	0.032048408	0.9434803	0.024471229
t	0.5004838	0.4845577	0.014958545
t	0.016722996	0.9470469	0.03623014
e	0.00136064	0.92952293	0.0691165
n	0.29643446	0.6264589	0.07710666
d	0.0030651824	0.61336195	0.38357282
i	0.003081655	0.2653683	0.73155004
m	0.037415273	0.9129102	0.049674436
è	0.030259041	0.75811005	0.21163091
n	0.26167935	0.69668746	0.041633226
a	0.037149776	0.76249874	0.20035146
</S>	0.6898322	0.23560455	0.07456322
