 	perché	aveva	lavorato	molto	</S>
j	0.9885606	0.008728261	0.0007029254	0.0012727885	0.00073543243
a	0.7307523	0.07160285	0.012619688	0.06765692	0.11736818
t	0.8013589	0.14840998	0.0055651194	0.015546655	0.029119374
ì	0.20135452	0.7378572	0.009735341	0.045692507	0.0053603286
ì	0.27371994	0.7059707	0.011506216	0.008599634	0.0002034913
c	0.044214815	0.8592442	0.014085248	0.07750314	0.0049525443
h	0.016036555	0.9621975	0.016082771	0.0022579038	0.0034252333
e	0.005085588	0.6919817	0.15274328	0.121157296	0.029032169
p	0.018378133	0.18031186	0.71319675	0.085040994	0.0030722395
o	0.0069858404	0.2530184	0.60474133	0.07226905	0.06298533
l	0.014552307	0.06851124	0.61927044	0.26313126	0.03453473
e	0.0006494705	0.006822555	0.87708795	0.08311871	0.03232128
m	0.0012596792	0.0062477784	0.9652564	0.020289395	0.006946771
ì	0.016712667	0.12051933	0.6119051	0.14547493	0.1053879
s	0.0018882843	0.006615026	0.9718675	0.014268043	0.005361056
o	0.000903749	0.014243055	0.91477644	0.025850482	0.044226293
n	0.018111983	0.037147254	0.6067253	0.33305034	0.0049650976
t	0.00056873023	0.0015647347	0.48392808	0.41321114	0.1007273
a	0.0029939013	0.009850446	0.31894785	0.34255302	0.32565477
p	0.009803956	0.019617237	0.15042758	0.815659	0.004492304
o	0.00027936825	0.0006976907	0.044537973	0.8005272	0.15395777
d	0.014268859	0.080787696	0.14451398	0.7599213	0.0005080814
d	0.00024100878	0.00035346794	0.018599363	0.97576696	0.005039255
h	0.019773498	0.02618168	0.39711794	0.4392043	0.11772259
ì	0.009787382	0.011393303	0.04788754	0.9128923	0.018039508
</S>	0.0152307395	0.02322634	0.027653178	0.91712624	0.016763434
