 	sono	stato	sempre	poveretti	</S>
ì	0.99074453	0.002136534	0.004135835	0.0009968033	0.0019863078
m	0.9960634	0.0030292063	0.0006121292	0.00019562847	9.965688e-05
e	0.9158397	0.054566383	0.009355289	0.018341111	0.0018974801
s	0.57400626	0.18562257	0.22856236	0.009707403	0.0021015184
t	0.0040535573	0.9538871	0.0065385737	0.034175795	0.0013449462
a	0.0036243652	0.96997213	0.002857375	0.022829447	0.000716635
m	0.074566625	0.75118893	0.16279247	0.010990084	0.0004618831
m	0.00068115396	0.97053707	0.009418527	0.0131752435	0.0061880113
è	0.017577201	0.84882647	0.049577672	0.08314847	0.0008702067
n	0.017591832	0.089054696	0.76944774	0.10650904	0.017396644
a	0.0017470985	0.51983434	0.42934054	0.034208164	0.014869837
p	0.009053651	0.00812965	0.9429476	0.03543513	0.004434105
à	0.0020424202	0.1595348	0.5019794	0.32613683	0.010306614
n	0.00369152	0.0027066192	0.94493675	0.047844175	0.0008209623
t	0.0008759431	0.0021118494	0.9278033	0.058270793	0.010938044
a	0.0030818433	0.012895261	0.7484927	0.11244787	0.1230823
t	0.010018496	0.00802104	0.8629609	0.11595134	0.0030483173
e	0.0006727371	0.035461288	0.09839223	0.80146265	0.06401107
c	0.115056634	0.10062122	0.1355288	0.639696	0.009097308
h	0.00020944764	0.015834957	0.0056551485	0.8522635	0.12603694
ù	0.0013601579	0.022565749	0.022958815	0.69192237	0.2611929
d	0.0017457115	0.0010424526	0.026950361	0.9604075	0.009854037
d	0.00036389817	0.000819147	0.0070272335	0.8912965	0.100493245
h	0.003897619	0.005405371	0.007020623	0.6692632	0.3144132
i	0.0015228625	0.003073969	0.010754228	0.7476634	0.23698561
</S>	0.07497801	0.013534502	0.40317914	0.43060252	0.07770577
