 	possono	essere	ancora	svegli	</S>
i	0.98824906	0.00888647	0.0010893431	0.0008723151	0.0009026046
s	0.593382	0.10254432	0.027964847	0.16354671	0.11256213
ò	0.073843546	0.8818354	0.011122011	0.020529779	0.012669264
z	0.14113846	0.8453414	0.008772422	0.0029256537	0.0018220564
o	0.06307941	0.914349	0.008611162	0.001333471	0.012626959
n	0.014272676	0.89497924	0.08988733	0.00016773051	0.00069304835
e	0.0012216186	0.9749082	0.0065649524	0.009898378	0.007406945
ì	0.017984819	0.82439107	0.1537274	0.00063113595	0.0032655755
n	0.022028897	0.5271574	0.37387785	0.03907449	0.03786127
e	0.0027440917	0.6951613	0.23588441	0.022131603	0.044078633
a	0.022696868	0.08746659	0.85975647	0.0014992552	0.028580863
n	0.014345929	0.014488854	0.077768564	0.83393866	0.059457943
k	0.003984243	0.0038811695	0.052179057	0.9308312	0.009124339
ò	0.123569325	0.41318783	0.41271853	0.0413432	0.009181124
r	0.003396048	0.018012442	0.9296488	0.036681145	0.012261549
a	0.0009361698	0.0071336012	0.44518796	0.52480876	0.02193352
a	0.037695073	0.15807186	0.7688746	0.0055395886	0.029818917
t	0.19443682	0.110810876	0.166269	0.39035907	0.13812427
s	0.04405425	0.022666875	0.037030097	0.8109248	0.08532397
ù	0.09011265	0.22931752	0.58694226	0.029549949	0.064077675
n	0.032975264	0.18059927	0.44113073	0.06379605	0.28149876
n	0.0022599977	0.009854442	0.026028758	0.6122568	0.34959996
i	0.0065719793	0.0062713283	0.04677632	0.050792556	0.8895879
t	0.065992445	0.1977543	0.5338269	0.14095299	0.0614734
i	0.00042937524	0.00042779936	0.0006305412	0.17752823	0.82098407
</S>	0.078178406	0.45850056	0.40418527	0.017155936	0.041979805
