 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.99162865	0.006339889	5.2979078e-05	0.00036936204	0.0002836019	0.00027279553	0.0010526803
ì	0.9925068	0.0048417393	8.425797e-06	0.00013719941	0.0001782562	0.0018526593	0.00047484218
s	0.998841	0.000991933	9.916554e-06	8.526685e-06	8.710985e-06	0.00013785555	1.9976958e-06
i	0.9779795	0.004309806	0.00028961402	0.0006070837	0.00072165264	0.015527045	0.0005653863
f	0.8491882	0.099237695	0.008611936	0.01901191	0.015591347	0.0065280558	0.0018308882
a	0.5625019	0.35911253	0.00015245771	0.0026398438	0.0016677383	0.071920015	0.002005509
m	0.4938772	0.45346957	0.011440522	0.014765823	0.010648343	0.008449464	0.0073490734
ì	0.014867963	0.73121816	0.016961265	0.017320935	0.022858664	0.1777563	0.019016651
g	0.012250899	0.9179404	0.023798233	0.023660196	0.00862636	0.012398914	0.0013250057
l	0.0037835045	0.47324878	0.25134462	0.047926195	0.04552475	0.14469013	0.033481993
i	0.0002359797	0.029864427	0.8708083	0.014261384	0.06395505	0.012188563	0.008686322
a	0.0148761785	0.109814405	0.023390772	0.5563484	0.21224223	0.078631885	0.004696155
e	0.12112955	0.2502846	0.04282316	0.3423966	0.09957448	0.062716715	0.08107485
n	0.15653625	0.17513637	0.010221135	0.2871282	0.101176694	0.051447675	0.2183537
è	0.0046901843	0.015624341	0.0021185596	0.5267508	0.20729148	0.2044322	0.03909238
c	0.0030837173	0.011656455	0.0014395324	0.850968	0.08183309	0.044752676	0.0062664608
h	0.0009905502	0.004365599	0.0013061005	0.7768114	0.11843474	0.09149972	0.0065918295
i	0.00012803149	0.0010410838	0.016680686	0.7695129	0.17005466	0.030227268	0.012355474
n	0.009479156	0.017548729	0.011981982	0.3385979	0.4255287	0.18378733	0.013076326
a	0.00023661011	0.00037323064	0.0038642471	0.048315343	0.27157012	0.64984906	0.025791354
f	0.005581857	0.009430485	0.007854774	0.0773635	0.21139991	0.6755642	0.012805232
à	7.384958e-05	0.00011850718	0.0006576557	0.0034999936	0.10140644	0.88492316	0.009320384
i	0.0011105726	0.00256318	0.0008339926	0.01328019	0.049593996	0.929497	0.0031211602
</S>	0.012404867	0.071272284	0.054332852	0.4650107	0.18521878	0.18418635	0.027574096
