 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a	0.8067696	0.16160543	0.004901525	0.0042785546	0.001528506	0.0010936426	0.005873416	0.0062231594	0.0026255345	0.0026992564	0.0024013591
n	0.17315967	0.13991171	0.0011800306	0.0021396468	0.00033905276	0.00023017831	0.0017257466	0.002936081	0.0152140185	0.021379285	0.64178455
ì	0.0011108351	0.95655614	0.010630788	0.0025142923	0.0007802438	0.00025732632	0.00286367	0.0029741782	0.002331342	0.017222738	0.002758362
c	0.0049377116	0.92772436	0.009302285	0.0035939354	0.0034345072	0.0022722615	0.0008469858	0.000782873	0.008015499	0.036770184	0.0023194037
h	0.008514811	0.7662775	0.12389116	0.005388541	0.0009800426	0.0003021065	0.0019855595	0.002173881	0.00026953628	0.089502156	0.0007148286
e	0.0058525316	0.2283896	0.6820062	0.015949178	0.010158887	0.012524217	0.0011312654	0.00113542	0.018515376	0.023782518	0.0005548254
n	0.008407433	0.13849778	0.6231866	0.16301684	0.014219676	0.0021859503	0.006783681	0.0060793734	0.00451933	0.033055056	4.8281385e-05
d	0.011754447	0.059373	0.5302828	0.029868657	0.013118117	0.0130029665	0.012536551	0.019971356	0.003950333	0.30388534	0.002256508
ì	0.04662461	0.0032873494	0.60870373	0.04571401	0.05456771	0.12612699	0.003423449	0.0026392248	0.04084467	0.06476914	0.0032990687
s	0.0025775721	0.0037386622	0.42619744	0.44733196	0.07393363	0.019461574	0.0038750179	0.0021433102	0.0059747216	0.014696466	6.969732e-05
o	0.0028728156	0.00429039	0.42200324	0.20950674	0.1730072	0.06412855	0.0057112826	0.007184923	0.018951897	0.08527213	0.0070707663
n	0.007820225	0.0028862068	0.015965909	0.7130835	0.14755909	0.046698663	0.016605742	0.0102129	0.013692188	0.023733953	0.0017416846
t	0.0075270366	0.007531826	0.07245981	0.45277214	0.059322707	0.012623579	0.053160887	0.041293126	0.003222491	0.28770113	0.0023852235
a	0.024296034	0.0007698877	0.012813448	0.29945517	0.22520208	0.15468086	0.006137289	0.004878786	0.08362491	0.17879748	0.009344004
i	0.012315491	0.0030230503	0.017034585	0.46954462	0.31880125	0.0895326	0.016174674	0.008368941	0.01894701	0.045986157	0.00027162264
k	0.06904415	0.014008515	0.0024256893	0.044606365	0.50471216	0.18877588	0.02253084	0.0071226065	0.08248795	0.036982127	0.027303677
i	0.08690578	0.0052962904	0.0016195318	0.14846571	0.11179751	0.056815997	0.2874353	0.17493196	0.003341234	0.11730387	0.006086881
a	0.0042411587	0.012076833	0.0021450585	0.122152954	0.5676324	0.061644446	0.14008445	0.02190713	0.010526572	0.042742863	0.014846205
t	0.039159685	0.0068292134	0.0013177114	0.0052056047	0.30416444	0.36035174	0.0341589	0.010994884	0.13061926	0.07929443	0.027904095
è	0.038899332	0.0034728423	0.00042788245	0.017060982	0.06854433	0.028504083	0.51561683	0.26703727	0.0034184272	0.05551365	0.0015043712
r	0.0006861844	0.008783726	0.00075392984	0.02219544	0.19773357	0.020079926	0.5758619	0.1186991	0.005858012	0.046883564	0.0024646681
a	0.00016704401	0.0007299513	0.00014532398	0.017405687	0.50239253	0.11307433	0.241067	0.1091139	0.0059609828	0.00838145	0.0015618117
i	0.0032787202	0.0061499337	0.0052667526	0.030456869	0.2073237	0.27944544	0.22241385	0.07694907	0.031227848	0.11099396	0.026493846
n	0.05413849	0.008441751	0.0027519003	0.0033962189	0.034227822	0.042005964	0.36080146	0.20532428	0.17584817	0.07302595	0.040037945
ì	0.02877844	0.0010524875	0.000237496	0.0019393873	0.009205225	0.00546604	0.42262444	0.49296442	0.008842846	0.027851002	0.0010381761
c	0.00034117006	0.0052448018	0.00046421692	0.0034575225	0.011952157	0.002537407	0.6493003	0.2680812	0.006552314	0.049812496	0.0022565129
h	0.00015409142	0.0008693675	7.379883e-05	0.0013825311	0.05876301	0.02644677	0.4890111	0.39074317	0.021045668	0.0081403	0.0033702513
a	8.9511625e-05	0.0008570523	0.00018944243	0.0021891608	0.09080992	0.06979238	0.47156048	0.14979367	0.09033416	0.054668512	0.069715746
p	0.0013194944	0.0025518506	0.0017015534	0.007785838	0.0140329115	0.011514354	0.16442376	0.6153821	0.10361489	0.07147508	0.00619823
à	0.0065955007	0.0003120467	0.000101130376	0.00026047253	0.006361841	0.011890621	0.16555317	0.5103627	0.1602892	0.10396195	0.034311395
r	0.00022754415	0.004461151	0.0006499701	0.002417274	0.00893631	0.005413967	0.19661766	0.39201954	0.25122505	0.1331129	0.004918658
o	0.00012700475	0.0011359531	0.000159583	0.00068031595	0.009310738	0.0101458365	0.2612509	0.3413026	0.29715675	0.022912128	0.055818208
n	0.0046621626	0.008314588	0.013716134	0.017836751	0.021359567	0.078681014	0.03282785	0.06984909	0.055046476	0.66938806	0.028318275
t	0.0030760376	0.00018876558	8.0714286e-05	0.00021558178	0.0021481127	0.0025438652	0.017592197	0.15394092	0.6505082	0.10764631	0.062059257
a	0.00038215326	0.002682559	0.00044354444	0.0039758673	0.015095412	0.006670286	0.02446343	0.06318525	0.3159058	0.08743793	0.47975773
s	0.008404217	0.019622438	0.011095659	0.03359992	0.07207621	0.08227324	0.089260645	0.102869056	0.06891561	0.45223254	0.059650447
t	0.0036843324	9.086785e-05	3.1443604e-05	5.306602e-05	0.00021799082	0.0004242034	0.0023393126	0.018904356	0.34669253	0.19110925	0.43645263
i	0.00083749206	0.0015559965	0.00052517385	0.0038984604	0.012531884	0.0060766484	0.010033441	0.027639335	0.3028383	0.0982886	0.53577465
n	0.008872553	0.017289061	0.012357811	0.020412171	0.05599266	0.09835901	0.06100855	0.04745855	0.092554696	0.54853606	0.037158873
a	0.001640629	3.5906865e-05	1.2917709e-05	1.5769103e-05	5.4800585e-05	8.518552e-05	0.0005365413	0.003579759	0.22746556	0.18260136	0.58397156
g	0.0010449766	0.0010859232	0.0010536392	0.0012180799	0.0027726714	0.007862985	0.0037915423	0.0038607968	0.026291313	0.94782823	0.0031898662
l	0.0031119552	0.00030508157	5.0511197e-05	0.00044381467	0.0010766719	0.00041243795	0.0019322477	0.012459029	0.21294788	0.65248144	0.11477892
i	0.0033247222	0.0034770274	0.0010761948	0.0076613757	0.022175727	0.0050044036	0.015361494	0.025837054	0.14455211	0.4193922	0.3521377
s	0.00342365	0.0013672212	0.002700801	0.0019257102	0.009310338	0.03531813	0.0053369533	0.0034399927	0.18843055	0.7405275	0.008219216
ì	0.002876502	0.00040966488	2.8542092e-05	0.002186452	0.0033893574	0.00055313593	0.0066069476	0.047348294	0.06595578	0.8436324	0.027012948
a	0.00020271633	0.0012883972	0.00019740948	0.00043366163	0.00046381835	0.0008538702	0.0029386522	0.0030517627	0.008866757	0.91788805	0.06381488
</S>	0.09631706	0.014704361	0.007801044	0.023693243	0.083550856	0.11395798	0.08026594	0.08028948	0.16259404	0.28494358	0.051882382
