 	vuole	pianto	</S>
i	0.9122678	0.072337255	0.015395017
t	0.93850213	0.0543839	0.0071140355
è	0.9548464	0.039631847	0.0055216746
l	0.9837208	0.01595785	0.00032144747
i	0.40923077	0.57844394	0.01232534
k	0.43824986	0.54713804	0.014612117
l	0.0019948126	0.9953805	0.0026247362
a	0.0011773573	0.95065844	0.04816423
m	0.09203141	0.8833609	0.024607765
m	0.0015628733	0.9271683	0.0712689
è	0.028536383	0.92061156	0.0508521
n	0.48041704	0.38400537	0.13557765
o	0.0035807982	0.02523949	0.97117966
</S>	0.6434954	0.30525726	0.051247343
