 	allora	questo	anno	che	viene	vengo	nuovamente	qui	e	mangio	molti	pasticciotti	</S>
a	0.9748492	0.009293617	0.0071042823	0.00070348324	0.0045395615	0.00047702694	0.00026033836	0.0003407942	0.00028703854	0.00018672521	0.00028107225	0.0010096316	0.00066717813
l	0.988605	0.00094029796	0.00019021142	0.00031127108	0.00022635327	0.0003050425	9.527942e-05	0.00020382005	0.0005444836	0.00030647975	0.0006357765	0.005763914	0.0018720917
l	0.94523764	0.04308791	0.0042289547	0.00054737774	0.0036164492	0.0009545901	0.0001855554	0.00028190503	0.000549701	0.0002564548	0.0003160998	0.000194617	0.00054270023
ò	0.88911813	0.072951496	0.0065638185	0.0034349256	0.009913576	0.0026604794	0.00073151465	0.0011396073	0.0022597313	0.00061274675	0.0011353074	0.005562651	0.0039160275
r	0.81926894	0.09612238	0.0020527265	0.055996213	0.004107378	0.015873246	0.0011241225	0.0012481385	0.0005444753	0.00015454527	0.00045993493	0.0028405508	0.00020726227
a	0.87425447	0.05524101	0.0026917825	0.019513337	0.003810374	0.013264666	0.004233791	0.003320562	0.005146642	0.0010694303	0.0022024296	0.005542063	0.009709506
f	0.04876297	0.38067883	0.046268713	0.2987557	0.028496498	0.116580985	0.016247442	0.02567388	0.0077916575	0.0026418713	0.009998224	0.014569012	0.00353422
è	0.030935422	0.9299895	0.013814158	0.006850064	0.009637594	0.003596216	0.00042945964	0.0011745875	0.00058249757	0.00015852213	0.00086192624	0.0008794083	0.0010906976
t	0.0042564343	0.78596133	0.028641228	0.13215213	0.0073973006	0.029144859	0.0035656742	0.0037681467	0.00074096775	0.00014477038	0.0011040393	0.0029593704	0.00016373435
i	0.010094599	0.71500236	0.035854205	0.15190543	0.007268808	0.028324721	0.008663537	0.0029126515	0.0066124448	0.0011689436	0.0009347291	0.017676279	0.013581261
p	0.005227405	0.40745685	0.19648607	0.20232815	0.03837069	0.08164209	0.02442943	0.020750603	0.0049357014	0.0016640907	0.00748758	0.0056189853	0.0036023753
ò	0.002259356	0.8329668	0.07414426	0.044035226	0.03508102	0.007006334	0.0009886278	0.0012633683	0.0005542369	0.00016279762	0.00080307067	0.0004513053	0.0002836637
r	0.0027201946	0.33177763	0.12551379	0.4626629	0.03246865	0.037803333	0.0031609053	0.0010976858	0.00034434703	5.406488e-05	0.00018635252	0.0021077415	0.000102357386
k	0.0008274671	0.34447727	0.1376897	0.36563906	0.0504346	0.070711575	0.015258559	0.0023006045	0.0020383042	0.0005170092	0.0005631812	0.0062243515	0.0033184104
