 	forse	sono	usciti	</S>
f	0.9877344	0.0021280316	0.007659556	0.0024779323
ò	0.95982736	0.0037978545	0.0220206	0.01435419
r	0.9394677	0.021916095	0.03848062	0.00013547325
s	0.9059147	0.036909536	0.02058302	0.03659276
i	0.009276925	0.24407922	0.043079305	0.7035645
e	0.002499749	0.65452814	0.30902907	0.03394314
g	0.011937311	0.19636649	0.7236217	0.06807448
g	0.010844958	0.85983986	0.116417125	0.012897948
u	0.00059947843	0.94579566	0.027842807	0.02576201
ì	0.0019146272	0.32532734	0.6683037	0.004454279
k	0.024707852	0.02926422	0.92698777	0.01904018
a	0.0016836746	0.4165373	0.063833944	0.51794505
n	0.010041681	0.20491488	0.7083773	0.07666612
e	0.0017251032	0.055625647	0.6465453	0.29610392
</S>	0.039843608	0.45497495	0.39674312	0.10843835
