 	non	mi	aspetti	che	non	vengo	</S>
m	0.6547729	0.34233657	0.0002830452	0.0003499214	0.0003643937	0.00041134475	0.0014818717
ì	0.155346	0.5412075	0.15460739	0.013870351	0.049259067	0.049020126	0.036689587
m	0.0089719435	0.963157	0.014534224	0.010801057	0.0006061337	0.0016499113	0.0002797089
e	0.041806098	0.4923114	0.33518767	0.038063213	0.036262184	0.048127726	0.008241735
m	0.061157655	0.29417047	0.22368856	0.31472123	0.034134552	0.04114919	0.030978296
ì	0.03701153	0.021052655	0.69304156	0.1316338	0.05983398	0.048682623	0.008743805
n	0.0029155964	0.022861678	0.073765054	0.8020698	0.034807343	0.061192315	0.0023882343
i	0.013872954	0.008526034	0.21752948	0.5589844	0.10420719	0.06596604	0.03091396
k	0.013924231	0.059960723	0.017315893	0.6773475	0.02895977	0.1945656	0.0079262545
a	0.006247653	0.0021024223	0.012076173	0.7228991	0.14730237	0.106020935	0.0033513494
e	0.03138714	0.048476033	0.0066307685	0.74696314	0.018044721	0.12836562	0.020132607
n	0.05431878	0.026898328	0.011370232	0.3822885	0.33661255	0.065780595	0.12273109
è	0.007465404	0.006196189	0.0030744602	0.41744295	0.10464592	0.44741857	0.013756582
r	0.020838974	0.033668082	0.006323585	0.36626577	0.0201284	0.5471104	0.005664825
k	0.0018437451	0.00043961417	0.00033268423	0.097900495	0.052659787	0.82512176	0.021701982
o	0.05355114	0.011244589	0.016848316	0.2501462	0.24316603	0.3715173	0.053526457
m	0.024540829	0.043423623	0.018500114	0.054300733	0.022691438	0.8250189	0.011524388
e	0.025564313	0.0024903042	0.018486498	0.007842882	0.24107365	0.65494996	0.04959228
</S>	0.09781541	0.0885179	0.012853572	0.109641194	0.022941431	0.66610014	0.0021303569
