 	è	che	è	entrato	da	qui	</S>
è	0.9762789	0.008674596	0.004000821	0.008584685	0.00079792005	0.00093539845	0.00072770024
n	0.7893446	0.18603757	0.0060418667	0.0041339076	0.0052329153	0.0023264056	0.0068828617
a	0.5421642	0.376921	0.030100016	0.0102787595	0.015685968	0.018155897	0.0066941604
m	0.09152505	0.28432178	0.23111147	0.23394682	0.092560284	0.059569404	0.006965196
b	0.009981167	0.16430885	0.36558717	0.1008005	0.0584329	0.2685655	0.032323964
ì	0.0074651334	0.12819363	0.30858988	0.33739606	0.09289282	0.11507471	0.010387783
k	0.0063181575	0.030964497	0.33206856	0.17609924	0.41066483	0.04224303	0.0016416406
e	0.0016231166	0.019592676	0.47114143	0.41273054	0.028730659	0.05242938	0.01375232
a	0.05447202	0.07408215	0.064054124	0.03284256	0.48132885	0.24711074	0.046109546
p	0.10522628	0.049852744	0.07541311	0.08852507	0.11050507	0.5194654	0.051012352
ò	0.008324421	0.003879368	0.0147880865	0.054988895	0.072551586	0.8453694	9.82992e-05
t	0.006856921	0.0055006295	0.01293861	0.012798071	0.17649257	0.7843265	0.0010867264
t	0.0007740114	0.0006471223	0.0023108108	0.0046807337	0.05403481	0.93222636	0.0053261677
u	0.0027128344	0.0031480864	0.008556709	0.016831229	0.03462395	0.3081936	0.6259336
</S>	0.032763273	0.030241763	0.057816993	0.050309077	0.14981484	0.65339565	0.025658388
