 	l'	ho	sentito	che	viene	</S>
o	0.9522517	0.025882298	0.0016542367	0.0030668415	0.016079817	0.001065006
n	0.07682285	0.11205504	0.26421446	0.058019243	0.11980046	0.36908793
ì	0.010029247	0.6504031	0.021487877	0.027824782	0.23450343	0.055751584
k	0.040878225	0.09343476	0.7753974	0.029615618	0.027803328	0.032870706
u	0.012895716	0.07546116	0.8209048	0.04304078	0.01674238	0.030955233
s	0.051850628	0.025457535	0.5112715	0.29888713	0.08419535	0.02833789
a	0.002603574	0.0026232984	0.073715225	0.7191387	0.20071726	0.0012019875
n	0.039676394	0.021749424	0.20974924	0.35790393	0.25507814	0.11584282
a	0.0008651651	0.00043170492	0.005132586	0.5328059	0.45950195	0.0012626546
r	0.024361357	0.026365675	0.10505139	0.12823285	0.45608032	0.25990838
t	0.00029064674	0.0002307198	0.00065194105	0.07187083	0.9245165	0.002439261
i	0.004423058	0.0027136523	0.060213823	0.03412401	0.02368066	0.87484485
</S>	0.06187921	0.099661395	0.36764964	0.23813672	0.20891891	0.023754142
