 	il	vino	buono	deve	essere	invecchiato	</S>
o	0.9367354	0.023261622	0.027058536	0.0065971646	0.003999204	0.0016466822	0.0007014445
k	0.449357	0.12144898	0.09227636	0.0740286	0.10573615	0.12159941	0.035553537
r	0.0057017133	0.5186085	0.3478007	0.019467114	0.037159678	0.05395902	0.017303275
a	0.004892527	0.9312612	0.047700748	0.0045324382	0.005492154	0.0048280396	0.0012929484
s	0.022296155	0.7725077	0.15130438	0.031818207	0.018724017	0.0027401478	0.0006093391
ì	0.000549513	0.65287375	0.300806	0.014515931	0.014102846	0.01599018	0.0011617235
k	0.005819249	0.93046653	0.05057369	0.008727742	0.0038989293	0.00045770739	5.6254394e-05
a	0.0031841581	0.91376126	0.049517572	0.0068084165	0.005532301	0.010310412	0.010885952
l	0.051048018	0.15201034	0.3843064	0.25557557	0.12242547	0.025424404	0.009209869
ò	0.00026129998	0.22913307	0.5596167	0.09948228	0.02428218	0.08684528	0.00037917247
e	0.0028181989	0.08963729	0.54711545	0.32316002	0.030341925	0.006637013	0.00029013454
n	0.009142358	0.053786248	0.44408828	0.34908974	0.083677195	0.037127316	0.023088858
a	0.0020190198	0.026049972	0.2730557	0.5449085	0.09161721	0.055651065	0.0066984347
è	0.016444469	0.050126676	0.11597518	0.52206904	0.22293581	0.03569411	0.036754724
n	0.0019447226	0.0121840015	0.056719247	0.29736257	0.47843277	0.06591801	0.08743872
e	0.0001113124	0.0012897112	0.009792915	0.42637703	0.4288694	0.12881483	0.0047448473
a	0.010685784	0.009936897	0.02589448	0.24019903	0.4873505	0.17895159	0.04698177
n	0.0080301445	0.057754427	0.025298752	0.043473195	0.5113979	0.20370406	0.1503415
v	0.0038924965	0.021558845	0.004979887	0.029009953	0.5872245	0.3410052	0.01232913
e	0.0029424347	0.024774	0.034888245	0.3966157	0.41630822	0.11834763	0.0061238087
k	0.0040071625	0.008706552	0.011725439	0.053634513	0.49252343	0.41496915	0.014433729
k	0.00025668004	0.0012680223	0.00057116186	0.0037110182	0.2003821	0.776518	0.017293053
i	0.0039239624	0.015504489	0.0090470575	0.039389353	0.4515484	0.3882388	0.09234802
à	0.0027642348	0.0051148008	0.0031227455	0.017110001	0.07922106	0.8805413	0.0121258795
t	0.00014208388	0.0010073214	0.003441376	0.014715326	0.19049169	0.7844448	0.005757375
o	1.8907652e-06	3.6982354e-05	0.00014295634	0.00058446097	0.032187708	0.9656266	0.0014192782
</S>	0.008902861	0.011733646	0.02775454	0.063498154	0.13377751	0.74561757	0.008715706
