 	non	ho	cosa	è	da	mangiare	</S>
e	0.8712357	0.11025944	0.0008439463	0.0035301049	0.002689476	0.0026405274	0.00880086
n	0.0023586978	0.09991233	0.009152628	0.0036748806	0.0075327894	0.03192087	0.84544784
è	0.008475596	0.6013721	0.022560092	0.061941702	0.03058447	0.2419223	0.033143718
c	0.0067850742	0.78714734	0.085355826	0.019591179	0.014287337	0.053672794	0.033160374
h	0.0024941668	0.5575138	0.10615023	0.03724723	0.015810871	0.2649445	0.015839223
o	0.0010982738	0.011854364	0.9597352	0.012778323	0.008273734	0.0048649213	0.0013952529
t	0.0029660652	0.031772673	0.059612393	0.6439663	0.15054694	0.10796522	0.0031703613
i	0.006356508	0.0073904474	0.20429876	0.29711807	0.06002534	0.4052187	0.019592188
è	0.019897506	0.08044842	0.015127051	0.3553778	0.33419454	0.17229311	0.022661598
n	0.0146106845	0.036451187	0.0051654857	0.47718865	0.26683754	0.1334015	0.066344984
a	0.0011357082	0.002748942	0.0020223926	0.27894014	0.4849056	0.20687233	0.023374923
f	0.031702317	0.06265713	0.034248136	0.19946066	0.17638916	0.44543436	0.05010814
à	0.0012020671	0.00081485853	0.0005031881	0.0050079757	0.13871631	0.8493726	0.004382956
o	0.0036269017	0.013116383	0.0037494726	0.024904436	0.064130686	0.8848233	0.0056488146
</S>	0.21841319	0.12981817	0.036656544	0.24459596	0.116187945	0.21053578	0.043792404
