 	voglio	che	Maria	viene	domani	</S>
t	0.9669452	0.0077899885	0.009764063	0.005239516	0.009301388	0.0009598312
è	0.9539505	0.003653516	0.013855932	0.002389386	0.012153227	0.013997407
l	0.97716933	0.014004775	0.004509347	0.0028906579	0.001399484	2.6434582e-05
o	0.91111773	0.054035153	0.0073516318	0.007632948	0.0028319652	0.017030558
e	0.1323539	0.77626693	0.009191087	0.058988106	0.015179493	0.008020509
M	0.037089515	0.26437825	0.5465255	0.05967605	0.06539953	0.026931254
a	0.009461983	0.6297239	0.1618409	0.12408098	0.044822615	0.030069647
r	0.04521313	0.08860486	0.04068717	0.07251749	0.048748292	0.70422906
ì	0.005733538	0.3528435	0.3306358	0.18375759	0.12346208	0.0035675133
a	0.008195393	0.6975886	0.17555924	0.10367014	0.009910961	0.0050755995
n	0.012590855	0.0364084	0.31472543	0.35725492	0.2683994	0.010621021
a	0.00080243126	0.0045210863	0.5360885	0.28281122	0.17428787	0.001488872
r	0.017290547	0.0341787	0.070778154	0.24657527	0.07852449	0.5526528
t	0.0005795294	0.004141594	0.2947452	0.42875084	0.26439744	0.007385358
i	0.0006707207	0.0044319164	0.003978625	0.023945065	0.0035323065	0.9634414
à	0.04465444	0.15621985	0.016417332	0.25984892	0.35354075	0.16931863
v	0.0013132478	0.0041389596	0.03248994	0.06572944	0.8877575	0.008570862
v	0.00035809277	0.0008456048	0.023801094	0.16078953	0.7873756	0.026830038
r	0.0002304808	0.0011395947	0.001351737	0.019016055	0.025669914	0.9525922
i	4.2022628e-05	0.00020319295	8.1542195e-05	0.0010507591	0.0076266355	0.9909958
</S>	0.0076147486	0.030446703	0.019172585	0.112856805	0.43186492	0.39804426
