 	le	canzone	si	scrivono	alla	notte	</S>
a	0.9873232	0.008084653	0.0019155946	0.0010014075	0.00051071803	0.0004393171	0.0007250904
t	0.9410852	0.0022547413	0.0010991268	0.0012021903	0.005322164	0.018234437	0.03080228
r	0.2700529	0.25218073	0.011465318	0.0053522056	0.00584385	0.019726494	0.43537843
a	0.14495058	0.7184528	0.054774437	0.0046650534	0.02574619	0.045577213	0.0058336086
ù	0.34853417	0.5706993	0.030021807	0.005128073	0.025314901	0.01708069	0.003221104
d	0.017238544	0.72169065	0.041492965	0.0075855805	0.025973324	0.0708609	0.11515812
i	0.015886545	0.78699476	0.17614351	0.004802432	0.0027688125	0.011816889	0.0015870229
a	0.022623166	0.43271446	0.41448563	0.11091662	0.0068165935	0.010111079	0.002332449
g	0.028674483	0.1181344	0.11599912	0.055268668	0.18161742	0.11090823	0.38939768
r	0.09685858	0.1908172	0.45181823	0.11850359	0.031065725	0.06939853	0.041538037
à	0.02547356	0.120499216	0.598595	0.18707655	0.0213222	0.04458618	0.0024472345
f	0.0016485031	0.010291145	0.06295844	0.87366015	0.025457483	0.02566405	0.00032014016
u	0.00040340234	0.006012045	0.08283395	0.5358927	0.16114604	0.20118155	0.012530285
t	0.0081427535	0.010385357	0.04952833	0.7784585	0.046279434	0.08297026	0.024235332
t	0.002039489	0.0015541196	0.008009209	0.1934111	0.44133556	0.34961537	0.004035218
e	0.0010925224	0.0011523023	0.004974443	0.050090518	0.31196633	0.61423516	0.016488783
t	0.015166304	0.038416263	0.08186142	0.3578804	0.09066746	0.39607772	0.019930389
s	0.00010395878	0.00012339244	0.00036314625	0.0024552217	0.16797967	0.8201199	0.008854706
e	0.00063146715	0.0004349455	0.0013249601	0.0032888164	0.11706535	0.8428484	0.03440609
n	0.0055138664	0.037660405	0.089775726	0.24790141	0.1047678	0.49074492	0.023635887
ì	2.8288552e-05	3.8016053e-05	0.00010147664	0.0001993286	0.037677046	0.93528366	0.026672173
t	0.00082825904	0.003028896	0.015849883	0.013437146	0.017164152	0.9433895	0.0063022226
t	4.0712686e-05	0.00033659284	0.00071050355	0.0007189329	0.01030744	0.98223615	0.0056496807
a	0.00060953776	0.004126621	0.022653427	0.030481424	0.06566902	0.6626236	0.21383643
</S>	0.0058869566	0.026443422	0.12510122	0.42035526	0.111203104	0.24191561	0.06909441
