 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.89786077	0.09299224	0.0008723765	0.0026705796	0.0004929976	0.00089515175	0.0008226192	0.00071888714	0.0026744702
n	0.005814287	0.43152767	0.0021627876	0.00092704	0.0007454149	0.0019793627	0.014951668	0.03367756	0.5082142
è	0.0012733105	0.9702828	0.006040282	0.0015262542	0.0007462826	0.0029977828	0.0017032736	0.01360233	0.0018276421
n	0.0007653514	0.9882703	0.004737747	0.0007307448	0.0002897881	0.0002741438	0.0034050057	0.000729327	0.0007977028
a	0.0005486317	0.9630091	0.028563237	0.00069662684	0.00032970042	0.0020446298	0.00012271861	0.00430633	0.0003790226
m	0.035553597	0.33159792	0.42014396	0.11501358	0.020100852	0.0497528	0.01738587	0.008296301	0.0021550546
i	0.004925733	0.015573219	0.8858384	0.044677123	0.021118112	0.013275378	0.0022847531	0.010669579	0.0016376644
l	0.02368746	0.10056269	0.107577994	0.57969743	0.034642544	0.10290123	0.02814536	0.007875558	0.014909586
ì	0.0018533207	0.009176398	0.10796634	0.28123084	0.037073895	0.08987497	0.0026940687	0.4650239	0.0051063066
s	0.002941854	0.008333818	0.22928205	0.6544019	0.07161589	0.02546237	0.0020968397	0.005603538	0.00026169769
i	0.003535639	0.0015108119	0.41554165	0.44638696	0.07652221	0.010909979	0.026774533	0.005784488	0.013033801
m	0.007943179	0.0062571294	0.024566377	0.7869064	0.13191934	0.027534077	0.006527712	0.0072049485	0.0011409053
b	0.0023088437	0.00046083145	0.013664257	0.79043406	0.17934403	0.0051052365	0.003186824	0.004590042	0.0009058344
r	0.0043012346	0.0013933906	0.011499092	0.7376669	0.21718249	0.008085006	0.012349821	0.0071990187	0.00032297397
ò	0.006302268	0.001187128	0.020753628	0.354626	0.5439245	0.01476354	0.033575978	0.022750033	0.002116884
s	0.00041000693	0.00050866633	0.0023829879	0.45055008	0.4349626	0.09345703	0.014204185	0.0034188693	0.00010546965
t	0.0013460543	0.00032209352	0.010346795	0.5209137	0.37817258	0.026171489	0.04229467	0.01557778	0.0048547736
i	0.0048772343	0.0003196537	0.012254351	0.28223473	0.476374	0.02176093	0.1161324	0.010013716	0.07603303
n	0.01458331	0.00931401	0.03852688	0.18609464	0.270965	0.38564083	0.036796883	0.054079313	0.0039991187
A	0.0006381911	0.0003013213	0.00047030076	0.03990405	0.106949255	0.37463182	0.067178965	0.39681345	0.013112659
n	0.00074904325	0.0011471827	0.0018750905	0.013019909	0.043215845	0.83884555	0.041425176	0.05957934	0.00014293035
n	0.0008435396	0.00037203578	0.0015749013	0.039251555	0.18791237	0.43596494	0.26659942	0.064238265	0.0032428578
a	0.010040452	0.0010997348	0.016827146	0.030955553	0.17383654	0.22658725	0.28012204	0.07282354	0.18770775
à	0.008273988	0.008372374	0.022887498	0.09892421	0.06539477	0.50096345	0.121623345	0.16801181	0.005548603
t	0.061991923	0.032013733	0.01522961	0.2104066	0.008551589	0.25484535	0.0056697475	0.39961126	0.011680241
s	0.00054557016	0.00068494957	0.0003363641	0.0055808444	0.0025446462	0.31413412	0.1326361	0.54002154	0.0035157853
e	0.011650472	0.0017464163	0.019847428	0.009974381	0.056312118	0.2040018	0.35548425	0.24339283	0.09759032
t	0.006862329	0.0039057177	0.019015413	0.060452774	0.032650895	0.19821678	0.08856156	0.5736089	0.016725598
ù	0.0013809113	0.00015078299	0.0005792751	0.0010435408	0.00060527545	0.036922272	0.21541795	0.7314994	0.012400646
o	0.0005148537	0.0010780805	0.0011207922	0.00092670403	0.003497246	0.02719872	0.016617265	0.947747	0.0012993912
</S>	0.08675616	0.011551821	0.094776966	0.06978127	0.04324644	0.0757651	0.0060056313	0.6068472	0.0052693286
