 	che	consuma	poco	benzina	</S>
n	0.9917167	0.0018620923	0.0012536072	0.0017339189	0.0034336373
a	0.9829348	0.0036091106	0.0025056098	0.0042059585	0.0067446097
k	0.98856235	0.006917678	0.0038582678	0.00042478667	0.00023682011
o	0.1804599	0.44978786	0.09551726	0.26810738	0.0061275973
n	0.683058	0.119832344	0.015890231	0.0062658265	0.17495371
s	0.017556082	0.693283	0.08878568	0.19434705	0.006028108
u	0.024672836	0.89036655	0.03583464	0.038118117	0.0110077355
m	0.31261086	0.58353263	0.07970454	0.021182017	0.0029699558
è	0.007199129	0.780078	0.12416031	0.060996275	0.027566306
t	0.029919837	0.46326455	0.48324794	0.005785309	0.01778249
s	0.004114271	0.7467438	0.12834306	0.016740182	0.104058705
i	0.003279886	0.57546335	0.2813244	0.043175872	0.09675646
a	0.029880343	0.049388383	0.81389016	0.0990109	0.00783023
l	0.05192429	0.019863227	0.776091	0.053724755	0.098396756
ì	0.0003033698	0.0017771026	0.42615914	0.56127465	0.010485768
o	0.008216974	0.012544312	0.8356449	0.13965634	0.0039374446
b	0.0030233911	0.004517089	0.09547714	0.8762425	0.020739898
e	0.0015281979	0.0030544943	0.045911785	0.9405312	0.008974311
n	0.024849981	0.04410016	0.27185276	0.65538514	0.0038119694
z	8.99688e-05	0.00066879514	0.0029812066	0.93329626	0.062963836
ì	0.0038387573	0.011941101	0.019531017	0.9083298	0.05635931
n	0.0012627011	0.004905147	0.021440156	0.8301615	0.14223045
a	0.00096123345	0.006461355	0.034974318	0.738314	0.21928918
</S>	0.098849125	0.2334788	0.23500924	0.39562073	0.037042074
