 	hai	già	mangiato	</S>
ì	0.9922306	0.0027945568	0.002302475	0.0026723829
s	0.99725133	0.0015217364	0.0007296846	0.000497244
e	0.94091696	0.02486899	0.030318892	0.0038950245
g	0.37555307	0.46841055	0.15480359	0.0012327991
i	0.019844731	0.709291	0.25946707	0.01139718
à	0.09847779	0.69601667	0.1841134	0.0213922
f	0.016802834	0.65237576	0.31397465	0.016846787
a	0.0015412129	0.4801267	0.4884335	0.029898629
m	0.053025212	0.112427324	0.7941962	0.040351246
è	0.0020401545	0.0173248	0.93899935	0.041635744
n	0.0067707314	0.012296106	0.97177255	0.009160611
a	0.00066856097	0.0045375987	0.92246944	0.07232433
</S>	0.26095995	0.15120304	0.5721958	0.015641171
