 	non	ha	mangiato	mai	un	rustico	</S>
e	0.9215657	0.06752679	0.0027160363	0.0010210266	0.0011668995	0.00085548643	0.0051480546
n	0.030978233	0.3602279	0.010939705	0.005675282	0.008743564	0.023325376	0.56011
è	0.002499145	0.9303489	0.038127687	0.00639267	0.0066592027	0.013309981	0.0026624505
c	0.0017314656	0.98044074	0.009877553	0.0020962986	0.0019046357	0.0028132105	0.0011360112
h	0.0013067997	0.93123245	0.05615094	0.00293174	0.002326037	0.004522504	0.0015295121
i	0.007641894	0.5343013	0.29145768	0.046774197	0.008965429	0.10927056	0.0015888321
f	0.0017692406	0.048951887	0.76764417	0.07428278	0.10147532	0.0055975746	0.00027901368
a	0.0035816976	0.03363187	0.75712186	0.09017344	0.020980164	0.08307226	0.01143873
m	0.01638859	0.0541419	0.5592014	0.22749707	0.12927474	0.010715563	0.002780641
è	0.022017773	0.004743102	0.38912663	0.4233874	0.01808384	0.111236475	0.0314048
n	0.0020920516	0.008539124	0.19786446	0.67827773	0.102566965	0.008531163	0.0021286008
a	0.002482378	0.0017783782	0.19705401	0.74205416	0.030780824	0.01588126	0.0099689495
m	0.009429859	0.013346003	0.037084147	0.55693346	0.3496061	0.031028204	0.0025722296
à	0.00973674	0.0014454607	0.015532862	0.892424	0.03328488	0.039874326	0.007701757
i	0.001561783	0.004715938	0.0103935525	0.35092163	0.62164307	0.010310934	0.0004530816
è	0.029782217	0.035589118	0.043516677	0.055337176	0.8074519	0.01192473	0.016398143
n	0.0474997	0.02414894	0.019438414	0.023818	0.8036638	0.010238516	0.07119268
a	0.0008413777	0.0006174909	0.0012558269	0.020922845	0.9092055	0.059827764	0.00732922
n	0.0154913105	0.048145793	0.060296163	0.12847011	0.68042076	0.019261967	0.047913942
r	0.0037885339	0.0006107198	0.00083989435	0.007815935	0.105444156	0.86435515	0.017145572
ù	0.005883634	0.0045107063	0.00891149	0.04340122	0.7485768	0.1378194	0.05089674
s	0.0026383414	0.0020518305	0.0056449454	0.017728975	0.5175435	0.4372278	0.017164597
t	0.0010693496	0.00022595531	0.00053837465	0.005706116	0.20084162	0.7249838	0.0666347
i	0.016813153	0.0032375115	0.0077467132	0.022394268	0.18817165	0.22899167	0.53264505
k	0.03387385	0.03653106	0.09238499	0.15448381	0.5012778	0.16069062	0.020757819
o	0.0026749077	9.7966935e-05	0.00018605366	0.0010347996	0.0043618847	0.69052374	0.30112064
</S>	0.06944287	0.11644452	0.11826404	0.12592155	0.19988067	0.3653423	0.0047040703
