 	allora	io	ora	sto	studiando	di	maestra	ma	ho	una	sorella	mia	sorella	studia	quest'	anno	che	viene	per	medico	</S>
a	0.9749724	0.009248027	0.009850098	0.0013080189	0.00059447496	0.0002042325	2.7531032e-05	0.00010995915	0.00023526822	0.00021227649	0.00013992965	5.4022126e-05	0.00011686788	0.00020042407	0.0002057113	3.7159043e-05	0.00015336566	0.00014081867	0.00046555177	0.00094499585	0.0007789672
l	0.98592895	0.0026720536	0.0033477843	0.0004698152	0.0003984814	0.00025082845	0.00011262056	7.7392055e-05	8.545956e-05	0.00012244201	9.678205e-05	0.0001262406	7.150615e-05	9.6319636e-05	0.00019467607	3.7041435e-05	0.00012743557	0.00010211212	0.0010706	0.002995019	0.0016164668
l	0.92362803	0.027308434	0.045118183	0.0006063366	0.0003231116	7.3156254e-05	3.3330214e-06	2.7880364e-05	0.0001645093	0.00016760522	7.9060424e-05	1.3480944e-05	7.458519e-05	0.00010579242	0.0004959784	5.2048996e-05	0.00017384031	9.918441e-05	0.0005395884	0.0005244284	0.00042142865
ò	0.7944438	0.14041021	0.035175055	0.0140244905	0.0046681743	0.0037255571	0.0006572231	0.00014306029	0.00049053575	0.0005359941	0.00012873013	0.00027308025	8.7586464e-05	0.00015839876	0.0007626146	3.1321244e-05	0.00032846257	0.00022215818	0.0016087409	0.0004732207	0.0016515356
r	0.42888573	0.45791423	0.04400683	0.05115818	0.014580527	0.0010143737	0.0003066936	0.00032430454	0.00046009655	0.0002496535	0.00014023697	0.00020769091	5.9437236e-05	4.1597446e-05	5.2112828e-05	4.0932588e-05	4.2267344e-05	3.2827305e-05	0.0002876875	9.853814e-05	9.6060816e-05
a	0.6566218	0.21452819	0.04324056	0.042596854	0.024061687	0.00821536	0.0008076589	0.00083653023	0.001985849	0.0013024335	0.00033639732	0.00013714372	0.00013904991	0.00025221775	0.0010727871	6.735606e-05	0.00021192653	0.00025954543	0.0006483053	0.00022295595	0.0024553882
e	0.008441846	0.70448047	0.10205141	0.11916118	0.049571656	0.0028182345	0.00037060137	0.0017771181	0.0027356509	0.0018037577	0.0017005233	0.00070281717	0.000743981	0.00061572046	0.00013131887	0.00028213434	0.00029501657	0.00010565483	0.001433883	0.0001455132	0.0006315855
v	0.014907816	0.33801684	0.6061495	0.014970154	0.0024291445	0.0014815284	0.0010309273	0.00047419238	0.00030976287	0.0002127463	0.00064537657	0.00088041235	0.0005760476	0.00028720626	0.00028842772	0.0002523848	0.0006047137	0.00022896421	0.003252021	0.0025469575	0.010454942
ò	0.011372536	0.6369764	0.318678	0.028103657	0.0022051104	0.000330633	0.00017294711	3.3713903e-05	0.00010452514	6.1682484e-05	2.5513616e-05	8.038179e-05	2.1820913e-05	2.5870208e-05	0.0001735126	2.3253353e-05	0.00013206754	7.6477045e-05	0.000523318	0.00028536533	0.0005932108
à	0.0046979766	0.74392503	0.22862384	0.018744078	0.0015701486	0.00017940743	0.00024558365	0.00010476815	0.00012248626	4.6422538e-05	5.2057905e-05	0.0003126933	2.6365513e-05	7.339825e-06	1.3530487e-05	5.4500442e-06	6.071715e-05	5.2361997e-06	0.00082350086	0.00012197197	0.0003114583
r	0.014157432	0.11121172	0.8208774	0.011702064	0.0017373192	0.0013644855	0.0011244104	0.001281686	0.0010047959	0.00061754376	0.0016191463	0.0033847757	0.0017035654	0.00035631924	0.00097088167	0.00020910421	0.005527585	0.00015865767	0.01322928	0.0041125147	0.003649318
t	0.0044367607	0.2092604	0.6001667	0.16413794	0.020246353	0.0002618548	0.0002107628	5.3146363e-05	8.581246e-05	4.774206e-05	1.1097118e-05	2.9542573e-05	4.5943375e-06	7.928778e-06	2.702785e-05	3.929221e-06	1.7194667e-05	1.2309e-05	0.0003722717	0.0002094964	0.00039715262
e	0.0009947572	0.09054492	0.106447674	0.52198756	0.10781516	0.04565598	0.011759578	0.023188474	0.015175789	0.009848012	0.014798887	0.0042695547	0.0065867896	0.0034175545	0.0019182988	0.0002838813	0.0065862522	0.000637286	0.021202894	0.0019766474	0.0049040536
n	0.0017339917	0.019622223	0.14559941	0.6665069	0.1564885	0.0016048667	0.0005586139	0.001172863	0.0014811906	0.00070008874	0.0004489049	0.00036491465	0.00017579552	0.00014791642	6.677984e-05	6.236883e-05	0.0001818305	3.8434075e-05	0.0025448208	0.00012589603	0.00037362194
a	0.0012980576	0.02552974	0.20854124	0.52814305	0.1895999	0.025487514	0.0025520457	0.0025043753	0.0024359515	0.002482528	0.0006092963	3.7322483e-05	0.00040634323	0.0015709322	0.0029493193	0.00029249082	0.00049319223	0.003352837	0.00059609883	0.0007679091	0.00034983087
s	0.000674216	0.004097711	0.04383594	0.6313469	0.30904093	0.002745315	0.0017067079	0.0018065134	0.0010184345	0.0006761123	0.00037038783	0.00014185769	0.00011296826	0.00013552158	2.8359063e-05	0.00010033127	6.6845045e-05	3.72657e-05	0.0006069111	3.017169e-05	0.0014206382
t	0.0021756955	0.0059466055	0.1100839	0.5612924	0.26206526	0.03532967	0.005159105	0.0017270606	0.002426148	0.0018563127	0.00025833683	5.18828e-05	0.00023011076	0.0013327044	0.0016806428	0.000610945	0.00039353254	0.0044309837	0.00079016323	0.0010715805	0.0010869554
e	0.0007321854	0.0058286656	0.018309603	0.62028724	0.25678644	0.047164872	0.033452336	0.00866884	0.0024365145	0.001108058	0.00048590513	0.0006257284	0.00016633817	0.00015655096	0.00030508873	0.0001184613	0.00026406982	0.00059367	0.0012694712	0.0008775514	0.00036244144
s	0.00026662363	0.0012597832	0.0031307014	0.23199838	0.7409296	0.00920124	0.0028624993	0.005192029	0.001977719	0.0009329306	0.0005106744	0.00024323192	0.0001417465	0.00014616834	4.1169624e-05	4.778502e-05	8.0697195e-05	4.4044344e-05	0.0007131211	4.0571835e-05	0.00023922471
t	0.0021221589	0.0031026145	0.054845825	0.38681975	0.3693927	0.09522324	0.015507978	0.013264338	0.011648175	0.0075945975	0.0012666703	0.0001482278	0.0010895508	0.0050580013	0.005278976	0.0023384322	0.001103987	0.018875403	0.001198866	0.0028622316	0.0012583475
u	0.00053149334	0.0021350523	0.004807184	0.33595067	0.37317225	0.15167646	0.09983484	0.021183556	0.0035198864	0.0012269453	0.00052144594	0.0005958778	0.000200336	0.00016339973	0.0004243073	0.00016085603	0.0003268196	0.00070326193	0.0011359911	0.0011366976	0.00059266924
d	0.00027582012	0.0007182812	0.0009557744	0.060789727	0.90411764	0.009720144	0.006357047	0.010585186	0.002712583	0.0011084069	0.0005355233	0.00033248228	0.00014568713	0.00013833493	4.0439147e-05	5.3049607e-05	0.00010170697	4.5134606e-05	0.00087969995	4.3849213e-05	0.00034349159
i	0.0021280465	0.0018098722	0.018143464	0.24154957	0.40719622	0.16928779	0.033967566	0.028002031	0.027886173	0.01365859	0.0018296789	0.00033141175	0.0015688814	0.006587249	0.0064563667	0.0038919072	0.0013909498	0.02682016	0.0014299378	0.0043633166	0.0017007593
è	0.0055915588	0.011084451	0.00921038	0.12005941	0.6610145	0.05643371	0.06445449	0.034677316	0.015615653	0.0032745486	0.0011797232	0.001141898	0.0003979273	0.00025690833	0.000103458195	0.0001486925	0.00024769196	0.00016650738	0.001538922	0.00031193113	0.013090259
o	0.0029607462	0.0016660123	0.0052801454	0.018336093	0.622745	0.064470775	0.07745506	0.12041764	0.040524565	0.009501905	0.0050762123	0.0058407816	0.0032594684	0.0013100096	0.0019158986	0.0009564495	0.004364963	0.00053917605	0.01064307	0.0017856079	0.0009504728
t	0.0024296518	0.001841719	0.004272268	0.020552156	0.5773514	0.07485577	0.124064185	0.11161473	0.03810958	0.008031849	0.0046253256	0.0045108953	0.003288802	0.0016276559	0.00095970766	0.0027831453	0.0021981266	0.0008371002	0.005966347	0.0016331663	0.008446443
s	0.0022153782	0.0014373699	0.0013730889	0.01360639	0.62247235	0.052198816	0.10247253	0.11074933	0.06275363	0.014643374	0.0026402683	0.0038356248	0.00091277476	0.00062825996	0.0008161595	0.00039700285	0.0006526055	0.0018663327	0.0018015861	0.0022192034	0.0003078596
e	0.0003174068	0.0006759928	0.00025347093	0.003528386	0.2346395	0.059135683	0.09615206	0.50274724	0.0667453	0.012456269	0.008371308	0.0040896027	0.002911743	0.00059792906	0.0006772062	0.00043324125	0.0014660514	0.0006683862	0.0025721553	0.0013197432	0.00024131245
m	0.0009696863	0.00091844704	0.00092406594	0.00744034	0.39150745	0.004074848	0.018786274	0.36494717	0.13234809	0.045724705	0.013890195	0.0043189866	0.0031408085	0.0029903597	0.0005912654	0.0007183598	0.001224961	0.00094838504	0.0038390425	0.00033027062	0.00036622758
a	9.332643e-05	0.00017714922	2.9689118e-05	0.002489963	0.08672531	0.22496642	0.51518625	0.121291034	0.03244444	0.0044197417	0.001723743	0.0032893869	0.0011313849	0.00080277055	0.0006296684	0.000671931	0.00064383965	0.0018059806	0.00035994634	0.0008382134	0.0002797887
è	0.007139478	0.012242218	0.002646996	0.009546818	0.058369137	0.015720608	0.01160588	0.23319371	0.5096257	0.072870396	0.016120693	0.008067713	0.00657978	0.0077875475	0.005468603	0.0010862462	0.0039230934	0.0023331526	0.004713262	0.001768039	0.009190998
s	0.0013360939	0.0007842253	0.001569302	0.004422869	0.11484348	0.0054401048	0.03389391	0.24021932	0.32780337	0.16363478	0.03520577	0.022320174	0.013881332	0.0063011316	0.005146839	0.005919037	0.0056320126	0.0035906422	0.0058013787	0.0016705875	0.000583576
t	0.0007787117	0.000280794	0.00061497855	0.0013794323	0.08997306	0.02011238	0.10311631	0.3064911	0.2991656	0.12471131	0.027494038	0.00506014	0.008059239	0.002356014	0.0017747598	0.00020206826	0.0015797534	0.00079372287	0.0022176069	0.0033062892	0.0005327446
r	4.821415e-05	9.0472604e-05	7.221089e-05	0.0011000145	0.039504454	0.02872799	0.20329769	0.59676945	0.06983628	0.020361852	0.01474495	0.005792058	0.0061500664	0.0013770083	0.0008817779	0.00084269885	0.0029215182	0.0008137652	0.002854579	0.0023096127	0.0015032571
a	4.282344e-05	4.4135086e-05	3.5479912e-05	0.00032420876	0.029619131	0.028988091	0.3152674	0.41297156	0.081290774	0.02501036	0.014944996	0.06628903	0.005332234	0.00040755112	0.00074627984	0.00038983845	0.003821738	0.00017822947	0.007006984	0.0028583778	0.0044307746
m	8.745867e-05	0.00024794837	0.000262707	0.0033302063	0.04364062	0.0011925108	0.0061814897	0.36016616	0.24208343	0.20757484	0.0865791	0.0076215332	0.023456417	0.0100860065	0.0013989458	0.0018267422	0.0016935327	0.0013980635	0.00082342944	0.0002426467	0.00010618296
a	6.40887e-05	0.00013903026	2.9519611e-05	0.0006136105	0.017844466	0.05630187	0.44349873	0.22854222	0.14885972	0.03608217	0.016032612	0.03071175	0.009343365	0.0017895451	0.001435165	0.0014431144	0.0017195868	0.0017308167	0.00089744275	0.0025454462	0.0003757958
è	0.0029468678	0.0045618876	0.0007856512	0.0026507222	0.006244894	0.0024150203	0.0013840555	0.059818693	0.605149	0.17877749	0.039722063	0.02296237	0.018086614	0.015571829	0.0143462485	0.00095917087	0.009191769	0.00328015	0.0053370325	0.0023084483	0.0035000448
c	0.0006059296	0.0003530783	0.00065585744	0.0018636304	0.010856052	0.0006316195	0.0033525487	0.050839275	0.30317983	0.38345173	0.10425446	0.033206888	0.04207529	0.01898162	0.010073956	0.015406039	0.0061031077	0.009193262	0.0029700974	0.0014694111	0.00047627426
h	0.0004319677	0.00020599547	0.00043293688	0.00065353006	0.017503664	0.0059910524	0.072116524	0.1784925	0.33040157	0.28013527	0.0674698	0.009403402	0.0216881	0.0040903166	0.0047621517	0.0005511668	0.0018871443	0.0012958202	0.0007680619	0.0016019039	0.000117108866
o	6.2669045e-05	0.000112214904	7.384845e-05	0.0005758623	0.00863557	0.008668509	0.066162586	0.51231104	0.206014	0.0791174	0.047948614	0.025259892	0.020518215	0.0038740274	0.0018850779	0.0016498322	0.004202533	0.0014340089	0.0032421649	0.0052904403	0.0029615161
m	0.00014711758	0.00014116064	0.00021359102	0.001271678	0.0084827095	0.00034890693	0.0012415469	0.06013467	0.13907942	0.31359357	0.28226906	0.024490014	0.105258286	0.038791258	0.004989289	0.0048892987	0.006965387	0.0030985407	0.0031573228	0.0011013456	0.000335837
i	9.232906e-05	0.00018454828	2.890111e-05	0.0005764673	0.005957967	0.015899912	0.33116713	0.11286892	0.17011248	0.073478445	0.044397376	0.18800664	0.02613448	0.0046421587	0.003729007	0.0051787593	0.0042713196	0.0036281866	0.0021169505	0.0060941963	0.0014339482
a	0.0020653282	0.0040882817	0.0005451211	0.0020967363	0.0028520275	0.0019926042	0.0005989996	0.017764214	0.3517231	0.26035094	0.08654698	0.05405672	0.057791494	0.036840074	0.056028556	0.0020686032	0.030294169	0.007258213	0.013435188	0.0069177914	0.004684842
a	0.0028305056	0.0015677168	0.0013895641	0.0037248437	0.012073271	0.0010690248	0.0047936714	0.010284675	0.09517221	0.23166615	0.17723957	0.17131111	0.12021748	0.05312778	0.01510313	0.029541876	0.021643633	0.0140863275	0.018480571	0.005262303	0.009414517
d	0.0006992385	0.0007964776	0.0011701173	0.006146701	0.008780547	0.0010475643	0.0019529174	0.008561908	0.09104533	0.2637281	0.15781775	0.052743923	0.123599865	0.093455136	0.021383975	0.11462572	0.010443924	0.02502886	0.0054426785	0.003828755	0.007700474
e	0.0019638967	0.0030336226	0.00046157493	0.0032378058	0.008790208	0.0030829767	0.015053796	0.026631126	0.26095644	0.31791455	0.101413816	0.08924876	0.049252976	0.032884903	0.017768173	0.01986441	0.004472059	0.035396323	0.0020757616	0.0058156243	0.0006811858
r	0.0022669416	0.003355901	0.0009443608	0.0024748307	0.0030915535	0.0005189469	0.00010863997	0.007120613	0.20546068	0.34146476	0.14342454	0.03948371	0.08942449	0.06755022	0.045083	0.008225773	0.012794639	0.010631297	0.0065249885	0.0066625713	0.0033875236
f	0.00071141886	0.0005184387	0.00015853584	0.004584126	0.009106062	0.004181556	0.008093264	0.011204141	0.1219477	0.2653939	0.10184024	0.024383143	0.07363012	0.1154466	0.076940686	0.06939516	0.01014163	0.09095907	0.0022787277	0.0071258205	0.0019596242
ì	0.0005784475	0.00056322396	0.00063261285	0.0009535186	0.003628625	0.00044547964	0.0037155559	0.051305387	0.22207153	0.43921128	0.1672008	0.028568972	0.045368068	0.0067173913	0.009189864	0.0046745148	0.0032068037	0.0058539584	0.0015724762	0.00418844	0.0003530998
a	8.118372e-05	3.703187e-05	6.615081e-05	0.00011404737	0.0005345737	4.264225e-05	0.00019558507	0.0038304457	0.016661642	0.124965005	0.33179176	0.015831146	0.26257503	0.15011181	0.02264513	0.023767838	0.02754639	0.01209107	0.0050344327	0.001969475	0.00010758564
d	0.0004827835	0.00080128247	0.00032215	0.0037521222	0.0057785013	0.0006629521	0.0017961694	0.00453898	0.02183719	0.0820532	0.055452876	0.013678478	0.09511782	0.22107174	0.046678606	0.23515745	0.012651935	0.19194603	0.002404844	0.0019014068	0.001913427
e	0.0010845034	0.0013263855	0.00029427497	0.0015410793	0.0030443002	0.0038133147	0.013299715	0.014570778	0.13649082	0.25208417	0.137564	0.10288172	0.09689452	0.046883285	0.060185183	0.047630016	0.01385134	0.05518988	0.0023990336	0.008390229	0.00058141554
r	0.0019256026	0.0034313125	0.0010078991	0.0029194648	0.0028866632	0.0006765191	7.211504e-05	0.004498504	0.06111352	0.15701365	0.13860174	0.019808628	0.17504801	0.18890451	0.13903251	0.018738003	0.02934024	0.024715843	0.011575838	0.015883608	0.0028057792
f	0.00048935914	0.00030287952	0.000106555846	0.003216248	0.004722914	0.0034885663	0.006070773	0.003730333	0.04077378	0.14243189	0.08794451	0.022873042	0.092169404	0.13521749	0.13371152	0.13487442	0.027565269	0.13389763	0.0051824064	0.017715735	0.0035153576
ì	0.00066341955	0.00048338316	0.0006474893	0.00082440797	0.002036185	0.0003360008	0.0022801177	0.016245615	0.09037486	0.3604321	0.2620047	0.041523103	0.11535008	0.019548073	0.027335698	0.012440369	0.012834461	0.013932367	0.0052983644	0.013600373	0.0018088092
m	6.435095e-05	2.609234e-05	5.1930463e-05	8.5285064e-05	0.0003143598	3.1579802e-05	0.00011087705	0.0012818804	0.003968765	0.046390075	0.2019547	0.009830436	0.29181266	0.24963036	0.03936673	0.055183653	0.05626982	0.029112523	0.010154672	0.004099966	0.0002592567
