 	è	che	stanno	ancora	svegli	</S>
è	0.9864681	0.011145016	0.0010583352	0.00042047031	0.00041030048	0.00049772015
n	0.90303063	0.09433079	0.0005895576	0.00029129005	0.0014503426	0.00030732038
a	0.70516926	0.28548142	0.0068944846	0.0018568096	8.673166e-05	0.0005113244
s	0.11456042	0.7998013	0.055193655	0.0298208	0.00037047704	0.00025332207
t	0.007900111	0.7666356	0.21016733	0.0029152562	0.0055360897	0.006845667
a	0.011985119	0.809654	0.16142823	0.0073298994	0.008177483	0.0014251975
t	0.038677387	0.2504932	0.67842776	0.031517055	0.0007628368	0.00012182827
ù	0.0032233903	0.073450066	0.862773	0.010848055	0.015883697	0.03382178
n	0.004943017	0.031110544	0.9017438	0.061164178	0.00032374644	0.0007146566
e	0.0014875262	0.026564382	0.9143603	0.032135285	0.012488189	0.012964503
a	0.028322816	0.03247157	0.29578382	0.63412035	0.0011171794	0.008184204
n	0.03135027	0.016756827	0.0233349	0.09076566	0.8000606	0.037731748
k	0.008440001	0.010498594	0.04162406	0.1637784	0.7509844	0.024674563
ò	0.15077235	0.18642636	0.41563302	0.20996262	0.032616425	0.0045892685
r	0.0017753108	0.001732779	0.009137463	0.9715835	0.013793191	0.0019777939
a	0.0005568489	0.0005189788	0.015461239	0.48974088	0.48002505	0.013696939
a	0.02552132	0.022523763	0.123243146	0.79531395	0.004890217	0.02850755
t	0.09303893	0.059243605	0.056655966	0.140292	0.49619594	0.15457356
s	0.015378484	0.019766187	0.01945273	0.042439952	0.8744278	0.028534843
ù	0.09480223	0.089457706	0.11441888	0.6467807	0.025394877	0.029145604
n	0.02333128	0.019539958	0.11051503	0.6218895	0.06170334	0.16302086
n	0.00073717337	0.0004718305	0.0026737673	0.024043286	0.86615616	0.10591776
i	0.0014490687	0.0019943328	0.0121478215	0.08209009	0.10680546	0.7955132
t	0.044335425	0.036643814	0.29596016	0.48833847	0.096161634	0.03856047
i	0.0003188428	0.0004235309	0.00055468956	0.0013432599	0.31387138	0.68348825
</S>	0.18304719	0.13865492	0.30663818	0.33349252	0.013032152	0.025135132
