 	perché	aveva	lavorato	tutta	la	settimana	</S>
j	0.9884418	0.007888414	0.00037237108	7.2721625e-05	0.00016226148	0.0023585223	0.00070389203
a	0.7841768	0.024337849	0.0029378769	0.018295793	0.031264607	0.024854317	0.11413284
t	0.7940859	0.11510029	0.0067740963	0.005821048	0.0062550628	0.027695665	0.044267774
ì	0.20879379	0.70419115	0.0021125963	0.0003929431	0.0019394134	0.07760677	0.0049633263
ì	0.20196946	0.7606545	0.007390858	0.00047361702	0.00038352297	0.028919157	0.00020890018
c	0.06131038	0.8150646	0.010168791	0.013515327	0.014034029	0.07353754	0.012369288
h	0.019486304	0.96471566	0.0057409927	0.000186583	0.000264117	0.009060885	0.0005454619
e	0.0064529893	0.63090783	0.11617048	0.136126	0.085273825	0.013517715	0.011551101
p	0.011918216	0.21134092	0.7262145	0.0019794244	0.0066474597	0.04139294	0.00050647993
o	0.006688521	0.30544305	0.29200634	0.081622005	0.04308398	0.2570251	0.014130946
l	0.019943852	0.10873203	0.5970917	0.021242829	0.045180418	0.12215847	0.08565072
e	0.0014333582	0.009156462	0.8577833	0.0033387465	0.02899768	0.08255421	0.016736146
m	0.0030115673	0.016324159	0.93215704	0.008169703	0.011959708	0.024349757	0.0040280186
ì	0.0147323115	0.04604875	0.41273597	0.0255545	0.0070050005	0.47433114	0.01959242
s	0.00076406676	0.0065596625	0.94073653	0.027863521	0.016585305	0.006015138	0.0014758129
o	0.00034844904	0.006736507	0.50992966	0.3765501	0.081400156	0.0066979784	0.018337186
n	0.0065368633	0.02149252	0.519822	0.08876583	0.23087937	0.12459522	0.007908157
t	0.00057330664	0.0007674332	0.27033406	0.4821738	0.16342613	0.0719296	0.010795744
a	0.00077017053	0.0013615168	0.07698578	0.65689796	0.16382404	0.025682416	0.07447822
ò	0.010222182	0.021479756	0.22191502	0.0517612	0.41522238	0.2744333	0.0049661426
l	0.0013228359	0.0068226103	0.030091016	0.003213305	0.091684364	0.8648099	0.0020560063
i	7.668099e-05	0.00013445872	0.01995355	0.08953548	0.87116057	0.0074371	0.011702149
t	0.011537657	0.028700238	0.034700822	0.07550092	0.6800655	0.14879963	0.020695234
i	0.0005382919	0.000487046	0.0035541093	0.10164444	0.7130709	0.16859613	0.012108997
n	0.012310661	0.03748322	0.0301896	0.016297037	0.48567158	0.41367248	0.0043753125
a	0.00018788116	0.00014014354	0.0014713078	0.020045111	0.6619964	0.21129195	0.104867235
d	0.009456411	0.034849573	0.016141472	0.007164296	0.2709214	0.6594302	0.0020366355
d	0.0003703909	0.0002543256	0.0024360495	0.022948189	0.2701528	0.6890349	0.014803416
o	0.000513997	0.0017029928	0.0021574863	0.038012177	0.9224635	0.026317839	0.008831906
m	0.011986515	0.030713173	0.09203124	0.16489547	0.55644745	0.11128036	0.032645777
à	0.00029760448	0.0007144937	0.0039141895	0.112998284	0.39819917	0.46715152	0.016724735
d	0.0014215566	0.004080695	0.002257283	0.0027946536	0.01954401	0.9660696	0.003832212
a	0.00062692026	0.0022762264	0.0012478861	0.008685634	0.15717614	0.74364895	0.086338244
</S>	0.099068925	0.14545707	0.15607587	0.043781556	0.082319655	0.42159763	0.05169928
