 	si	è	rotta	la	coppa	</S>
e	0.94693816	0.01501311	0.011747206	0.0019243215	0.021646017	0.0027311314
g	0.07759301	0.2981172	0.32867956	0.024771437	0.06691992	0.20391884
l	0.040566187	0.61382616	0.17966072	0.028121063	0.08435032	0.053475536
à	0.022207664	0.585432	0.1153371	0.051365294	0.09730935	0.12834857
s	0.007601771	0.47680405	0.36442098	0.028039541	0.121691816	0.0014419595
t	0.003754336	0.43246445	0.309596	0.066554554	0.12031532	0.06731528
i	0.0022672943	0.021801164	0.1883134	0.033060424	0.13077363	0.62378407
e	0.033753388	0.05343358	0.17111355	0.28692457	0.37670696	0.078068025
c	0.053963773	0.050786674	0.366392	0.04175083	0.35222402	0.13488272
ò	0.0021384924	0.002178119	0.015947087	0.15363471	0.8023088	0.023792693
p	0.0073921145	0.016781753	0.088774435	0.08012131	0.8045758	0.0023546135
p	0.0012974195	0.0013084767	0.0066731544	0.03783169	0.9239029	0.028986296
a	0.006380534	0.00927319	0.04245493	0.02541643	0.16940425	0.74707067
</S>	0.085389495	0.104585774	0.37964332	0.14648794	0.22039248	0.06350101
