 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.9035133	0.074084796	0.013287721	0.00092433713	0.0014891188	0.0043899566	0.0023107417
i	0.11640322	0.6453701	0.09151789	0.024763925	0.009104385	0.0070143845	0.10582605
k	0.012434335	0.819941	0.076596916	0.0027558994	0.008310937	0.06916788	0.010792963
à	0.000311985	0.89704764	0.08961156	0.0006007661	0.004227744	0.006337544	0.0018628577
n	0.0044861757	0.96413314	0.023518039	0.0008293887	0.0010337572	0.005831565	0.00016794217
n	0.0035128365	0.9480761	0.021071095	0.005297511	0.002658949	0.0063155093	0.013067894
i	0.042628545	0.44582146	0.023245452	0.09177361	0.07143438	0.23582065	0.08927595
e	0.06837366	0.1135363	0.22252059	0.1195418	0.10465177	0.36736634	0.0040095937
A	0.014713809	0.035003148	0.8277162	0.022269564	0.022670135	0.022789672	0.054837458
n	0.0046762307	0.010694652	0.7575722	0.025976272	0.084546655	0.11595754	0.0005764379
n	0.0012156917	0.0038061738	0.8283758	0.074369736	0.049032062	0.028080808	0.015119691
a	0.01148136	0.0028171053	0.077944875	0.08255687	0.13105455	0.52421224	0.16993298
o	0.007536314	0.0040051825	0.03553342	0.45870188	0.3116984	0.1814889	0.0010359704
s	0.041202016	0.031985495	0.036684494	0.053274527	0.49337828	0.2649643	0.07851083
à	0.0020011407	0.004270533	0.043238904	0.029077273	0.87766075	0.03975189	0.0039995434
m	0.004369662	0.003312777	0.010363665	0.0040329373	0.78686595	0.1879113	0.003143645
b	0.00026470766	0.00011456876	0.0012352605	0.009024715	0.9130587	0.07246184	0.0038401373
a	0.0010710033	0.00021772171	0.0005127629	0.008936295	0.66926575	0.25723943	0.06275707
p	0.004789887	0.0024303326	0.0019212354	0.012978831	0.2514423	0.7232935	0.0031439895
o	0.00033913934	0.00041964834	0.0013699456	0.0027442467	0.3847175	0.515079	0.09533055
r	0.03027439	0.012590064	0.015294711	0.004431438	0.3393288	0.5969975	0.0010831138
n	8.310283e-05	5.781138e-05	7.5383e-05	0.00025385414	0.034787443	0.9463014	0.018441105
ò	0.0017478174	0.0012628058	0.0009286648	0.0012161774	0.1267138	0.79077035	0.077360444
</S>	0.0012955398	0.00074983446	0.0031339345	0.0017961068	0.06736303	0.9077201	0.017941458
