 	mia	sorella	quest'	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.9136578	0.055485472	0.0057232818	0.011610871	0.0011512891	0.0070609064	0.0014493276	0.0014916823	0.001444076	0.0009253881
d	0.15011978	0.3673877	0.009436885	0.010064201	0.006295908	0.018670445	0.03497615	0.25952563	0.050876554	0.09264669
r	0.0004958199	0.9682695	0.006935872	0.005181399	0.0010158003	0.004282119	0.004248269	0.008371862	0.00047548933	0.00072375184
e	0.015349571	0.94314414	0.01051768	0.0030528842	0.0019620953	0.0046855616	0.0049842144	0.014936119	0.0006319524	0.00073566433
f	0.0057374556	0.96867275	0.007734061	0.0013719348	0.0022741894	0.0010338264	0.004734563	0.008227572	0.000122201	9.1373346e-05
f	0.00051144004	0.9029227	0.04879192	0.018961797	0.0009871243	0.019382752	0.0052465987	0.0022448208	0.00036507455	0.00058570766
ì	0.00673245	0.8528945	0.05984237	0.0057526412	0.006852392	0.010989642	0.029700063	0.025343155	0.0011960395	0.00069675536
m	0.0033234768	0.9087848	0.055741772	0.002182627	0.007802894	0.0011447257	0.009160888	0.011826468	2.2880236e-05	9.472788e-06
m	0.0029362093	0.9266068	0.025484832	0.008930707	0.0063297166	0.0010555641	0.0028765923	0.01831486	0.0024117087	0.005053064
u	0.011300836	0.50731647	0.12092088	0.0724832	0.06523046	0.011197678	0.014868275	0.036444705	0.15699632	0.0032411604
f	0.005291313	0.07757579	0.38444456	0.25727287	0.075426094	0.021004047	0.04012548	0.13614085	0.0022798253	0.00043917276
ù	0.0018689883	0.032881793	0.7668456	0.122997485	0.016549172	0.030955428	0.014805572	0.005840937	0.005272189	0.001982866
e	0.0021071876	0.019975498	0.59907067	0.2710083	0.05404073	0.016252715	0.015136131	0.021763755	0.00039862128	0.00024630973
p	0.003867151	0.020096956	0.18323538	0.7207375	0.018535737	0.042019293	0.0055494793	0.0013351426	0.002080762	0.002542546
p	0.014184356	0.0037906142	0.5590493	0.24706918	0.07628034	0.0882875	0.0074846023	0.002316079	0.00070079067	0.0008372614
ò	0.00434979	0.0061206366	0.59239686	0.2166096	0.15329584	0.008271382	0.009807799	0.007708618	0.0013033918	0.00013612976
r	0.00041356028	0.0012200192	0.099336185	0.615228	0.18759225	0.0812218	0.011724448	0.0028972484	0.00035035665	1.6034217e-05
k	0.000698924	0.0025714615	0.30795935	0.2736182	0.30513936	0.0524992	0.018865928	0.017332703	0.016733019	0.004581886
e	0.00419184	0.0025482434	0.07948125	0.33582583	0.3200212	0.031275567	0.008067186	0.01205699	0.08488059	0.121651374
t	0.0007072445	0.007025456	0.009523856	0.4069096	0.27651465	0.22002193	0.03612324	0.039213967	0.003582205	0.00037786007
e	0.0032159619	0.0005053703	0.052977525	0.32444546	0.22104181	0.32713678	0.04996825	0.007963287	0.0105801895	0.0021653643
e	0.008769457	0.013220653	0.016677672	0.016250014	0.5292237	0.25686392	0.117501	0.025769116	0.006826733	0.00889767
t	0.019209178	0.0077686557	0.0057864697	0.18773355	0.15279873	0.4593217	0.085278474	0.025648914	0.013023124	0.043431226
è	0.009509495	0.001694414	0.004983946	0.107639514	0.24472065	0.47878247	0.1292505	0.021222131	0.0017156424	0.00048125375
l	0.00075266225	0.0036297685	0.0038736549	0.008238546	0.1332633	0.43695042	0.38470894	0.022584736	0.0050733243	0.0009246332
i	0.00037566829	0.0005524363	0.005895736	0.025876988	0.17103627	0.32161155	0.40519434	0.033804405	0.03131674	0.004335812
n	0.0022765782	0.0133180795	0.0063122	0.012715413	0.06906915	0.21521974	0.52820414	0.1044144	0.036303874	0.012166475
a	0.01113746	0.0011051316	0.0020026572	0.02585953	0.12053342	0.33548436	0.29669744	0.17260131	0.029288435	0.0052902987
d	0.004575622	0.0082917325	0.0047422517	0.0032656568	0.036853302	0.08005779	0.7311137	0.098457836	0.026492655	0.006149544
i	0.020076232	0.0011295595	0.0013619132	0.004575857	0.03477376	0.1467867	0.36188808	0.38117492	0.039807316	0.008425601
v	0.011017712	0.008228419	0.006164362	0.0017850361	0.037372276	0.040803753	0.67713416	0.142669	0.06946932	0.0053559025
e	0.018501062	0.0013476496	0.000897396	0.0037657502	0.0076006576	0.052069	0.23378427	0.64154226	0.036072593	0.004419228
n	0.01111397	0.008550152	0.007972439	0.0016645591	0.025456134	0.026936673	0.5337059	0.2472322	0.13443597	0.0029320838
t	0.0048121307	0.0003786996	0.00036968157	0.0014737566	0.0017424735	0.013274636	0.072646596	0.8452765	0.051288337	0.008737262
è	0.0011154885	0.001461409	0.0010295598	0.0010162554	0.008783516	0.025698097	0.3962276	0.38345653	0.1322804	0.0489311
s	0.0001134502	0.0008427363	0.00042715739	0.002372618	0.0011391412	0.0206179	0.22807707	0.47481087	0.26769376	0.0039052085
s	0.00025963192	0.00015715351	0.0002838757	0.0003397787	0.0024624772	0.020810418	0.21799815	0.17007726	0.55936843	0.028242888
i	0.0012577057	0.0006933011	0.00051630905	0.0002681572	0.004749876	0.0034351316	0.12452357	0.09095616	0.34221637	0.4313834
m	0.0016025474	0.019474294	0.00572893	0.02237409	0.012880471	0.023902606	0.13997355	0.4526467	0.31037393	0.011042962
e	0.0093674045	0.0006147399	0.00043901714	0.0014659263	0.0019382734	0.0027359203	0.038636357	0.20269117	0.62145895	0.12065232
s	0.019556845	0.027635336	0.011811209	0.009597941	0.043454744	0.02077442	0.066101715	0.107826866	0.69115096	0.0020899284
s	0.010138359	0.000704178	0.00034078493	0.0011267122	0.0007822353	0.0012511595	0.015272249	0.55601174	0.36687067	0.047501948
è	0.000504697	0.0017210953	0.0008931953	0.00074952835	0.001996953	0.0018108425	0.036273245	0.41960612	0.4829609	0.05348345
r	0.0001951815	0.0010852056	0.00067977066	0.0017255388	0.0010136332	0.0044342093	0.025064982	0.18103024	0.77759665	0.007174515
a	7.2308605e-05	3.9690032e-05	6.997918e-05	3.7156908e-05	0.00012245194	0.00048724786	0.017955432	0.079636596	0.8500713	0.051507898
</S>	0.009997431	0.056948468	0.031011296	0.04105329	0.054188766	0.05315587	0.19520827	0.21777856	0.324024	0.016634077
