 	avete	cucinato	le	verdure	</S>
è	0.9898928	0.004012803	0.00093898835	0.0018529672	0.0033022978
c	0.9565455	0.036199503	0.0013950309	0.0033755582	0.0024845195
h	0.9562469	0.029641274	0.0015376275	0.008902844	0.003671226
e	0.5309408	0.40625915	0.038581654	0.022097524	0.002120898
t	0.039167795	0.8833835	0.03046844	0.046874773	0.00010549922
e	0.016557619	0.8219342	0.033175074	0.1120833	0.016249778
m	0.098466635	0.7255885	0.08716687	0.08416765	0.0046102917
a	0.0055008084	0.6165145	0.18896542	0.10104727	0.08797206
r	0.05921326	0.088334166	0.18547934	0.2907024	0.37627086
à	0.0057924204	0.087141305	0.60235924	0.2950917	0.009615314
t	0.0041778446	0.02679306	0.8831817	0.08280934	0.0030380366
a	0.0025389565	0.013869526	0.88142043	0.07566462	0.026506465
t	0.026008856	0.05697087	0.35288584	0.54973286	0.0144016035
a	0.00095515425	0.0037585956	0.65729576	0.3316073	0.006383141
l	0.036140088	0.042752013	0.091470785	0.8186715	0.010965556
à	0.00071429426	0.00180176	0.12483725	0.8590521	0.013594564
c	0.0051857624	0.0067490763	0.018657157	0.9677494	0.0016586093
h	0.00032875923	0.00032525865	0.004781405	0.9813333	0.013231231
a	0.0030763485	0.0046289223	0.024573052	0.93106335	0.036658324
n	0.01970915	0.10120807	0.061811812	0.80831516	0.008955905
a	0.0005942629	0.00130055	0.011157152	0.7998555	0.18709268
</S>	0.062877506	0.15997526	0.30708966	0.45294693	0.017110625
