 	se	vuoi	vivere	non	essere	grasso	bisogna	mangiare	poco	</S>
a	0.9468253	0.04238537	0.0028996721	0.0005409046	0.0019527155	0.0034582864	0.00060261175	0.00042442666	0.0004953275	0.00041527546
t	0.70860994	0.117972195	0.014058255	0.00043890986	0.0014806584	0.0017953562	0.0016948269	0.0072216094	0.04183054	0.10489768
e	0.008337733	0.9076983	0.036285758	0.0006988562	0.0027208077	0.005383643	0.00071483845	0.016256325	0.0077567757	0.014146953
l	0.006083163	0.8842898	0.06191729	0.005892665	0.00299864	0.0036934696	0.0018417222	0.005493212	0.0011138845	0.026676346
ì	0.0015224498	0.9825233	0.007712358	0.00013143638	0.00084685633	0.0020143772	0.00023090652	0.0011375664	0.0028412768	0.0010394817
s	0.0019601518	0.94874793	0.045632344	0.00037994728	0.0005294777	0.002309372	3.763916e-05	0.0003093659	7.681172e-05	1.6995646e-05
i	0.008149071	0.81535524	0.12321569	0.03351091	0.002958049	0.0045735426	0.00073410803	0.0077275536	0.001543715	0.0022321565
n	0.0018382352	0.78931975	0.1855589	0.0050664386	0.010022765	0.0049488246	0.0015437485	0.0012187199	0.00018872382	0.00029400768
a	0.001360124	0.66477835	0.28774235	0.010947712	0.006543262	0.0101392595	0.00125348	0.005221499	0.011435035	0.000578921
z	0.0032358067	0.23854168	0.7271895	0.008715631	0.012228676	0.00716553	0.0007881693	0.0009588374	0.00013491564	0.0010412401
ì	0.004075506	0.2189872	0.6531789	0.0391042	0.028950818	0.027357617	0.002832586	0.005635567	0.018464763	0.0014128468
s	0.00019356889	0.03411327	0.8971221	0.053920176	0.011097762	0.0027555972	0.00023991153	0.00042598866	0.00011745441	1.4316286e-05
i	0.00046762486	0.035924755	0.5346276	0.40842885	0.009799396	0.00237107	0.000903389	0.003269011	0.00084053917	0.003367744
n	0.0009816271	0.013087651	0.6911802	0.15978874	0.09653269	0.00946633	0.01920935	0.006816868	0.0021702766	0.000766284
a	0.0033709062	0.015452224	0.616142	0.11728905	0.1461791	0.041960277	0.004125418	0.0128767	0.04167399	0.0009304765
m	0.0020697073	0.013487007	0.5320254	0.060784284	0.32938996	0.036163654	0.011519234	0.004979532	0.0012544147	0.008326814
i	0.04124009	0.0022619728	0.2631005	0.43596053	0.22323668	0.017865568	0.00477592	0.0033790593	0.0067492435	0.0014305185
n	0.0023996697	0.011017914	0.12858953	0.022389637	0.6562617	0.121176615	0.017365078	0.018399347	0.005698944	0.016701613
ì	0.0038035475	0.0020943705	0.14008977	0.035569463	0.57950073	0.15226996	0.043626055	0.0058406866	0.032727875	0.0044774557
s	0.00030103573	0.0022381265	0.1339767	0.033681497	0.71313894	0.10467938	0.007453847	0.0024670267	0.0015639713	0.00049948046
e	0.00013426208	0.0007871328	0.10597689	0.14161314	0.6523915	0.07045502	0.016151141	0.0049982346	0.0039509907	0.0035416335
l	0.00044642139	0.0068302373	0.020815428	0.021103278	0.7072516	0.07969646	0.11706788	0.025628258	0.017645223	0.0035151371
i	0.0064615593	0.00071514316	0.025735851	0.011857948	0.3366	0.44660297	0.04545825	0.02089516	0.104395635	0.0012773911
p	0.0015504601	0.0063247336	0.014865827	0.013829484	0.49687314	0.32351863	0.06851238	0.04252582	0.014172211	0.017827384
a	0.010184682	0.00055528997	0.0041899304	0.0019364823	0.18972953	0.66644114	0.06222708	0.013724274	0.04966677	0.0013447916
