 	io	voglio	che	Maria	venga	qui	</S>
e	0.9761563	0.015415149	0.0010833619	0.005678455	0.00030040758	0.0005803361	0.0007859416
v	0.96944326	0.015928848	0.00027846266	0.00856902	0.00025682457	0.0013983372	0.004125209
ò	0.5984426	0.27290696	0.0010895124	0.11924984	0.0011959745	0.0038540645	0.003261063
t	0.65772194	0.33044282	0.002365657	0.007265426	0.00051586574	0.0008387042	0.00084965135
è	0.20761341	0.724839	0.034601327	0.010297864	0.0045077945	0.010414295	0.007726426
l	0.021108897	0.82778186	0.13164185	0.0012489962	0.0074196225	0.0104016885	0.0003971496
o	0.016100725	0.741085	0.18085636	0.009240379	0.011464091	0.022091493	0.019161982
n	0.021803172	0.13813153	0.517231	0.0059992857	0.15074371	0.14714295	0.018948404
a	0.0015331662	0.11844702	0.5916026	0.12397927	0.02634029	0.13544579	0.0026517594
r	0.03696979	0.074316554	0.48676047	0.034204274	0.109951764	0.1608274	0.09696977
t	0.0009168165	0.006168487	0.18375842	0.5330755	0.072376035	0.20132625	0.0023785469
i	0.005198008	0.01778543	0.66308266	0.029893495	0.05421186	0.0910085	0.13882002
e	0.03806323	0.045270536	0.35600358	0.05629205	0.19922973	0.26176757	0.043373246
M	0.011402075	0.015110309	0.010045138	0.7978316	0.057457622	0.065134056	0.04301934
a	0.0039046875	0.0052054753	0.035549093	0.4693011	0.1419351	0.32995752	0.014147014
r	0.04701173	0.07071801	0.044675257	0.09337565	0.25605336	0.38798848	0.10017745
ì	0.0002353764	0.0004886221	0.003987538	0.268927	0.28098384	0.44503745	0.00034013606
a	0.000587256	0.00087891455	0.0035647508	0.066021584	0.6778771	0.24568392	0.0053864717
e	0.0016631839	0.004567427	0.01145998	0.04637898	0.45283017	0.4767816	0.0063186674
t	0.014703538	0.014866535	0.0064003095	0.1343426	0.04127028	0.6350872	0.15332957
t	0.0046982914	0.0048790458	0.004837742	0.018844863	0.049805306	0.91434234	0.002592418
ù	0.0057913074	0.007140202	0.013099194	0.05377551	0.24549586	0.66101855	0.013679332
</S>	0.00013895764	0.00022251261	0.00071490725	0.0017468922	0.07661542	0.91429496	0.006266254
